league,yearID,mean_age,std_age,n
MLB,2005,29.4310081234027,4.546563490518804,87648
MLB,2006,29.15734532325701,4.597336514577096,89186
MLB,2007,29.10502898150704,4.540549793743753,90575
MLB,2008,28.989016858621266,4.429166618910125,89865
MLB,2009,28.91578582374193,4.250404315096917,89403
MLB,2010,28.896357913669064,4.2436903278298415,88960
MLB,2011,28.739482400494023,4.239527648170355,89065
MLB,2012,28.63584799265836,4.0706497702274325,90443
MLB,2013,28.613340443496423,4.109430957798153,90012
MLB,2014,28.615642866640073,3.9683073283645944,90252
MLB,2015,28.48129667677657,3.93580203810083,91989
MLB,2016,28.520795561876433,3.885840856396807,92111
MLB,2017,28.482725558847292,3.862236528033589,92825
MLB,2018,28.300226858330152,3.7379642968610542,94332
MLB,2019,28.246343446717287,3.6717318474351126,94693
