player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa,pa_or_bf,era,fip,xfip,k9,bb9,hr9,war,wraa,raa_def,raa_bsr,standard_scale,age,last_update_utc,data_version
milb_tmp:tristin_english:2024,2024,MiLB,ARI,Tristin English,0.262672811,0.325678496,0.423963133,0.3325040942691811,78.14603015938334,0.066805845,0.198329853,0.161290322,0.300613496,479.0,479.0,,,,,,,,-9.735730099244767,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jake_mangum:2024,2024,MiLB,TBR,Jake Mangum,0.316582914,0.357476635,0.442211055,0.3571875383642232,107.17843572909732,0.053738317,0.170560747,0.125628141,0.372670807,428.0,428.0,,,,,,,,5.21393013895263,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:john_rave:2024,2024,MiLB,KCR,John Rave,0.259036144,0.345614035,0.469879518,0.3595511550443214,107.94021628491728,0.112456747,0.216262975,0.210843374,0.303370786,578.0,578.0,,,,,,,,8.215759675237338,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:kameron_misner:2024,2024,MiLB,TBR,Kameron Misner,0.248291571,0.360308285,0.441913439,0.3596995518934773,108.78842269257188,0.140655105,0.292870905,0.193621868,0.338235294,519.0,519.0,,,,,,,,7.443340286527425,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:warming_bernabel:2024,2024,MiLB,COL,Warming Bernabel,0.263048016,0.296442687,0.359081419,0.3003034880274369,87.72905777943947,0.035573122,0.14229249,0.096033403,0.291770573,506.0,506.0,,,,,,,,-7.187752000133155,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:agustin_ramirez:2024,2024,MiLB,MIA,Agustin Ramirez,0.266806722,0.357664233,0.487394957,0.3777060257015542,133.75268174122755,0.111313868,0.186131386,0.220588235,0.289772727,548.0,548.0,,,,,,,,19.449132307511256,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:luisangel_acuna:2024,2024,MiLB,NYM,Luisangel Acuna,0.257769652,0.299145299,0.354661791,0.2950277923518776,66.53284136929189,0.05451448,0.163543441,0.096892139,0.299107142,587.0,587.0,,,,,,,,-24.218212518517625,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jonatan_clase:2024,2024,MiLB,SEA,Jonatan Clase,0.262872628,0.343529411,0.43902439,0.346094904647154,100.33378965239874,0.115023474,0.258215962,0.176151762,0.334645669,426.0,426.0,,,,,,,,-1.448443945283123,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:zach_deloach:2024,2024,MiLB,CHW,Zach DeLoach,0.286516853,0.374695863,0.410112359,0.3580448963926366,102.48633526217913,0.116788321,0.260340632,0.123595506,0.390243902,411.0,411.0,,,,,,,,5.309776215571611,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:rece_hinds:2024,2024,MiLB,CIN,Rece Hinds,0.207894736,0.281990521,0.376315789,0.2934404850855576,68.68704325825728,0.087677725,0.379146919,0.168421053,0.3125,422.0,422.0,,,,,,,,-17.986582967607177,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:owen_caissie:2024,2024,MiLB,CHC,Owen Caissie,0.277542372,0.375227686,0.472457627,0.3759434138025556,114.56074609259336,0.129326047,0.284153005,0.194915255,0.374581939,549.0,549.0,,,,,,,,15.540428826794518,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:nick_yorke:2024,2024,MiLB,PIT,Nick Yorke,0.302966101,0.385185185,0.449152542,0.3765841144168244,126.56514706416088,0.11090573,0.186691312,0.146186441,0.361878453,541.0,541.0,,,,,,,,19.79333291345717,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:gage_workman:2024,2024,MiLB,DET,Gage Workman,0.279503105,0.366425992,0.476190476,0.3800198279213214,142.16845476821416,0.116906474,0.275179856,0.196687371,0.371428571,556.0,556.0,,,,,,,,26.10615956092257,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:pedro_leon:2024,2024,MiLB,HOU,Pedro Leon,0.298507462,0.371698113,0.513859275,0.3854125672792892,129.98105233897584,0.080675422,0.270168855,0.215351813,0.380327868,533.0,533.0,,,,,,,,14.736485406718304,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tyler_gentry:2024,2024,MiLB,KCR,Tyler Gentry,0.250580046,0.338114754,0.422273781,0.3420504723660281,96.72376755331992,0.108384458,0.304703476,0.171693735,0.345864661,489.0,489.0,,,,,,,,-0.4065970545004953,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:shay_whitcomb:2024,2024,MiLB,HOU,Shay Whitcomb,0.292978208,0.378378378,0.530266343,0.3921942219138145,134.242357041652,0.11018711,0.197505197,0.237288135,0.32,481.0,481.0,,,,,,,,16.25648658346782,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:thomas_saggese:2024,2024,MiLB,STL,Thomas Saggese,0.252609603,0.313092979,0.438413361,0.3315458215165183,91.41552394659966,0.058712121,0.231060606,0.185803758,0.296187683,528.0,528.0,,,,,,,,-5.207397583057251,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:alejandro_osuna:2024,2024,MiLB,TEX,Alejandro Osuna,0.291666666,0.361842105,0.507352941,0.3917236111976288,142.87688506947893,0.078091106,0.236442516,0.215686275,0.356890459,461.0,461.0,,,,,,,,24.12106268746395,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:petey_halpin:2024,2024,MiLB,CLE,Petey Halpin,0.233146067,0.314356435,0.398876404,0.3259161667953623,107.48730485606988,0.106172839,0.234567901,0.165730337,0.280632411,405.0,405.0,,,,,,,,2.205251458622354,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:adael_amador:2024,2024,MiLB,COL,Adael Amador,0.229765013,0.342920353,0.375979112,0.3362755957430443,111.233886836381,0.136263736,0.193406593,0.146214099,0.261484098,455.0,455.0,,,,,,,,6.093744091420756,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:maximo_acosta:2024,2024,MiLB,TEX,Maximo Acosta,0.287564766,0.352534562,0.424870466,0.3557531576826825,118.3022832156777,0.078341013,0.133640552,0.1373057,0.31595092,434.0,434.0,,,,,,,,10.141471866823018,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:edgar_quero:2024,2024,MiLB,CHW,Edgar Quero,0.28,0.365671641,0.462857142,0.3807323487540383,136.16602707603093,0.097014925,0.174129353,0.182857142,0.307116104,402.0,402.0,,,,,,,,17.649849223151286,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jhostynxon_garcia:2024,2024,MiLB,BOS,Jhostynxon Garcia,0.286407766,0.355895196,0.536407766,0.4033526898212975,148.58765212898248,0.071895424,0.215686274,0.25,0.326460481,459.0,459.0,,,,,,,,28.52452925497326,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:javier_sanoja:2024,2024,MiLB,MIA,Javier Sanoja,0.286004056,0.345454545,0.417849898,0.3424041732874783,106.35287399237032,0.084990958,0.065099457,0.131845842,0.292576419,553.0,553.0,,,,,,,,1.5316429309391115,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:coby_mayo:2024,2024,MiLB,BAL,Coby Mayo,0.293296089,0.371921182,0.59217877,0.4127994740363395,148.67114181559313,0.103448275,0.251231527,0.298882681,0.343347639,406.0,406.0,,,,,,,,23.97036223992712,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tsung-che_cheng:2024,2024,MiLB,PIT,Tsung-Che Cheng,0.225287356,0.32938856,0.347126436,0.3182001441893493,97.44236047679289,0.125725338,0.230174081,0.12183908,0.282467532,517.0,517.0,,,,,,,,-0.3403259615791967,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:yanquiel_fernandez:2024,2024,MiLB,COL,Yanquiel Fernandez,0.262443438,0.318840579,0.402714932,0.3255162596702575,95.71599635130252,0.072314049,0.194214876,0.140271494,0.30678466,484.0,484.0,,,,,,,,-2.9907915451982845,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:denzer_guzman:2024,2024,MiLB,LAA,Denzer Guzman,0.224,0.302380952,0.314666666,0.2945985538618905,88.19533025950871,0.093896713,0.276995305,0.090666666,0.308300395,426.0,426.0,,,,,,,,-7.032576062227162,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:moises_ballesteros:2024,2024,MiLB,CHC,Moises Ballesteros,0.288546255,0.354330708,0.471365638,0.3710276406897596,122.77872533977808,0.088582677,0.183070866,0.182819383,0.32276657,508.0,508.0,,,,,,,,15.377249044286804,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:samuel_basallo:2024,2024,MiLB,BAL,Samuel Basallo,0.277661795,0.34086629,0.448851774,0.3562002565500871,115.51626108583412,0.086466165,0.210526315,0.171189979,0.323863636,532.0,532.0,,,,,,,,13.20881411320694,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:carter_jensen:2024,2024,MiLB,KCR,Carter Jensen,0.258695652,0.358974358,0.45,0.3705011285184061,130.31183731684695,0.131868131,0.234432234,0.191304348,0.312693498,546.0,546.0,,,,,,,,18.918843874425576,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
