year,league,role,age_group,weight,share
1904,MLB,batting,36+,4053.0,0.04450715979970131
1905,MLB,batting,<=23,7645.0,0.08368635950652961
1905,MLB,batting,24-26,20295.0,0.22216019178352106
1905,MLB,batting,27-29,26349.0,0.28843059341236743
1905,MLB,batting,30-32,22262.0,0.24369205171149277
1905,MLB,batting,33-35,9825.0,0.10754983415979771
1905,MLB,batting,36+,4977.0,0.054480969426291416
1906,MLB,batting,<=23,11592.0,0.12929274903242358
1906,MLB,batting,24-26,17159.0,0.19138494484535507
1906,MLB,batting,27-29,22339.0,0.24916069018593082
1906,MLB,batting,30-32,23192.0,0.2586747270151801
1906,MLB,batting,33-35,9653.0,0.10766588219547832
1906,MLB,batting,36+,5722.0,0.06382100672563214
1907,MLB,batting,<=23,12471.0,0.13895883939117062
1907,MLB,batting,24-26,16994.0,0.18935662870768613
1907,MLB,batting,27-29,18826.0,0.20976979475408375
1907,MLB,batting,30-32,24219.0,0.26986160943106097
1907,MLB,batting,33-35,11678.0,0.1301227909878992
1907,MLB,batting,36+,5558.0,0.061930336728099306
1908,MLB,batting,<=23,9442.0,0.10428424691576192
1908,MLB,batting,24-26,20508.0,0.22650511922775318
1908,MLB,batting,27-29,22303.0,0.24633039175622093
1908,MLB,batting,30-32,20637.0,0.22792988811698567
1908,MLB,batting,33-35,12002.0,0.13255873029898058
1908,MLB,batting,36+,5649.0,0.06239162368429772
1909,MLB,batting,<=23,16182.0,0.17782808413371723
1909,MLB,batting,24-26,24846.0,0.2730389678894042
1909,MLB,batting,27-29,21483.0,0.2360821116947625
1909,MLB,batting,30-32,13533.0,0.14871755423196115
1909,MLB,batting,33-35,12080.0,0.1327501703334139
1909,MLB,batting,36+,2874.0,0.031583111716741025
1910,MLB,batting,<=23,17413.0,0.1876785117642621
1910,MLB,batting,24-26,29573.0,0.31873982819758356
1910,MLB,batting,27-29,20793.0,0.22410838425970833
1910,MLB,batting,30-32,11501.0,0.12395856910358802
1910,MLB,batting,33-35,9422.0,0.10155096409825287
1910,MLB,batting,36+,4079.0,0.043963742576605125
1911,MLB,batting,<=23,17338.0,0.18478689503021517
1911,MLB,batting,24-26,26917.0,0.28687904334573205
1911,MLB,batting,27-29,25863.0,0.2756456030780053
1911,MLB,batting,30-32,13326.0,0.14202734820467455
1911,MLB,batting,33-35,6282.0,0.06695300926172637
1911,MLB,batting,36+,4101.0,0.04370810107964658
1912,MLB,batting,<=23,16241.0,0.1742521780181108
1912,MLB,batting,24-26,32291.0,0.34645508776447365
1912,MLB,batting,27-29,23954.0,0.257006137075662
1912,MLB,batting,30-32,12889.0,0.1382880563065963
1912,MLB,batting,33-35,4383.0,0.047025878717651605
1912,MLB,batting,36+,3446.0,0.03697266211750569
1913,MLB,batting,<=23,18880.0,0.20583040795412424
1913,MLB,batting,24-26,29867.0,0.3256110590236138
1913,MLB,batting,27-29,22571.0,0.24606981662778274
1913,MLB,batting,30-32,12199.0,0.13299391666484967
1913,MLB,batting,33-35,5405.0,0.058925495497459825
1913,MLB,batting,36+,2804.0,0.030569304232169723
1914,MLB,batting,<=23,19613.0,0.2117600060462756
1914,MLB,batting,24-26,28114.0,0.30354462907178875
1914,MLB,batting,27-29,23484.0,0.25355488614647104
1914,MLB,batting,30-32,13700.0,0.14791781383949298
1914,MLB,batting,33-35,4888.0,0.05277534847061618
1914,MLB,batting,36+,2820.0,0.03044731642535549
1915,MLB,batting,<=23,15133.0,0.1638408903901953
1915,MLB,batting,24-26,27534.0,0.2981031570741847
1915,MLB,batting,27-29,28357.0,0.3070135550647438
1915,MLB,batting,30-32,12931.0,0.14000043306916116
1915,MLB,batting,33-35,5971.0,0.06464639902992508
1915,MLB,batting,36+,2438.0,0.026395565371789876
1916,MLB,batting,<=23,15920.0,0.1721676688151577
