player_uid,season,league,team_id,name_full,era,fip,xfip,k9,bb9,hr9
milb_tmp:randy_dobnak:2024,2024,MiLB,MIN,Randy Dobnak,4.252499675560022,4.544049474716193,4.296514115152976,9.044999309921318,4.252499675560022,0.9449999279022272
milb_tmp:blas_castano:2024,2024,MiLB,SEA,Blas Castano,4.380319326697789,4.760626260827343,4.6067663027131776,7.755319463661659,3.087766082754179,1.0771277032863416
milb_tmp:jackson_rutledge:2024,2024,MiLB,WSN,Jackson Rutledge,6.400545225244058,5.391937908271909,5.287586715199563,9.416894124497006,5.66485037176773,1.2506812509097585
milb_tmp:ryan_gusto:2024,2024,MiLB,HOU,Ryan Gusto,3.70112334168692,4.373983188675386,5.000652339888501,8.5550555930796,3.215730116547652,0.8494381439937193
milb_tmp:jairo_iriarte:2024,2024,MiLB,CHW,Jairo Iriarte,3.7142857142857135,3.858493462063018,4.144802996480749,8.714285714285714,4.071428571428571,0.5
milb_tmp:cole_wilcox:2024,2024,MiLB,TBR,Cole Wilcox,3.5707659140861434,3.659381378227426,3.901630339039179,6.890951764025891,2.7563807056103564,0.501160128292792
milb_tmp:karl_kauffmann:2024,2024,MiLB,COL,Karl Kauffmann,8.95372820885887,7.952909634068134,6.692737793882152,5.136247189577956,5.275064681188171,2.3598973573736552
milb_tmp:carson_ragsdale:2024,2024,MiLB,SFG,Carson Ragsdale,4.176795404052928,4.683266401481249,4.151943026149615,10.964087935638936,4.251381036268159,1.4171270120893864
milb_tmp:ian_seymour:2024,2024,MiLB,TBR,Ian Seymour,2.3532110915301643,3.296710129119653,3.695395765861988,10.03211044283912,2.538990914545704,0.6811926843903108
milb_tmp:andry_lara:2024,2024,MiLB,WSN,Andry Lara,3.3415840795350764,4.027587118934742,3.6843419225545375,8.821781969972601,2.9405939899908677,1.0693069054512243
milb_tmp:gordon_graceffo:2024,2024,MiLB,STL,Gordon Graceffo,4.846153846153846,5.169049549102784,5.171303118765355,7.407692307692308,3.4615384615384617,1.3846153846153846
milb_tmp:bubba_chandler:2024,2024,MiLB,PIT,Bubba Chandler,3.0835657217352583,3.0981264195096263,3.366089563443264,11.13092016626386,3.0835657217352583,0.6768802803809104
milb_tmp:michael_mcgreevy:2024,2024,MiLB,STL,Michael McGreevy,4.02,3.862382882436117,4.168921109338601,8.28,2.64,0.84
milb_tmp:andrew_alvarez:2024,2024,MiLB,WSN,Andrew Alvarez,3.8962028326649984,4.38831783721196,4.384981557633634,7.792405665329997,3.622785090021841,0.8886076635902628
milb_tmp:joe_rock:2024,2024,MiLB,TBR,Joe Rock,4.57517933084342,4.141841953590222,4.243235012971837,8.50596720663847,2.255370092669291,1.0954654735822271
milb_tmp:carson_seymour:2024,2024,MiLB,SFG,Carson Seymour,4.823820974661704,5.323491017119935,4.77062619980511,8.84367178687979,4.019850812218087,1.339950270739362
milb_tmp:mike_vasil:2024,2024,MiLB,NYM,Mike Vasil,6.044776119402985,5.748154026714724,5.107748132276891,7.32089552238806,3.492537313432836,1.611940298507463
milb_tmp:chad_patrick:2024,2024,MiLB,MIL,Chad Patrick,2.904645260042204,3.979807464664307,4.429210244137052,9.57212642513908,2.574571935037408,1.0562346400153468
milb_tmp:doug_nikhazy:2024,2024,MiLB,CLE,Doug Nikhazy,2.983827738704033,4.1331647362919925,4.422952034896975,9.024259502421952,3.857143174422286,0.8733154357182534
milb_tmp:dom_hamel:2024,2024,MiLB,NYM,Dom Hamel,6.786096810415079,5.951402684674035,5.770512929805659,8.951872388207125,5.558823982999586,1.6604279429739024
milb_tmp:carlos_rodriguez:2024,2024,MiLB,MIL,Carlos Rodriguez,4.511568477331989,4.679589481984504,5.12775765464492,8.95372820885887,4.233933494111558,1.041131187076613
milb_tmp:chase_petty:2024,2024,MiLB,CIN,Chase Petty,4.204379562043796,3.855266760039504,3.917431810541745,8.540145985401459,3.875912408759124,0.7226277372262774
milb_tmp:travis_adams:2024,2024,MiLB,MIN,Travis Adams,3.897637795275591,3.803797758658101,3.9288162693029314,8.362204724409448,2.4803149606299213,0.9212598425196852
milb_tmp:noah_cameron:2024,2024,MiLB,KCR,Noah Cameron,3.0777204505817988,3.2828113837232187,3.4514992906491018,10.42228061674291,2.5181349141123808,0.8393783047041269
milb_tmp:hunter_dobbins:2024,2024,MiLB,BOS,Hunter Dobbins,3.079575518914799,3.04330758873264,3.929537579551128,8.594164238831997,3.437665695532799,0.1432360706471999
milb_tmp:colton_gordon:2024,2024,MiLB,HOU,Colton Gordon,3.9405407030483226,4.313035781071777,4.847328716877967,9.048649021814668,2.8459460633126774,0.9486486877708924
milb_tmp:gunnar_hoglund:2024,2024,MiLB,OAK,Gunnar Hoglund,3.4438778191296184,4.397488058835803,4.33204829548913,8.196429209528493,2.548469586155917,1.1709184585040702
milb_tmp:caden_dana:2024,2024,MiLB,LAA,Caden Dana,2.5208847099049043,3.1634542559699987,3.435112765934461,9.751843483053182,2.5872237812181917,0.6633907131328696
