player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa
milb_tmp:braylin_morel:2024,2024,MiLB,TEX,Braylin Morel,0.307189542,0.406593406,0.575163398,0.4439283694539751,140.27510470611733,0.115384615,0.236263736,0.267973856,0.38095238,182
milb_tmp:victor_cardoza:2024,2024,MiLB,PHI,Victor Cardoza,0.333333333,0.389830508,0.561728395,0.4511028643358837,153.88996211249196,0.06741573,0.247191011,0.228395062,0.423423423,178
milb_tmp:cristian_jauregui:2024,2024,MiLB,PIT,Cristian Jauregui,0.274074074,0.407185628,0.392592592,0.4103765758925569,130.1050121863665,0.13772455,0.215568862,0.118518518,0.350515463,167
milb_tmp:deward_tovar:2024,2024,MiLB,TEX,Deward Tovar,0.24137931,0.364161849,0.434482758,0.3948980383790297,119.79382328300744,0.14450867,0.312138728,0.193103448,0.348837209,173
milb_tmp:heriberto_rincon:2024,2024,MiLB,NYM,Heriberto Rincon,0.207142857,0.303030303,0.278571428,0.3028112483747078,66.54151642815054,0.113772455,0.155688622,0.071428571,0.239316239,167
milb_tmp:kleyver_salazar:2024,2024,MiLB,BOS,Kleyver Salazar,0.225806451,0.333333333,0.374193548,0.3457673732700244,86.5986120882063,0.136612021,0.218579234,0.148387097,0.274336283,183
milb_tmp:antony_gomez:2024,2024,MiLB,MIL,Antony Gomez,0.191489361,0.364640883,0.283687943,0.3411110260868599,85.71797919783434,0.198895027,0.276243093,0.092198582,0.277777777,181
milb_tmp:abraham_cohen:2024,2024,MiLB,BAL,Abraham Cohen,0.198412698,0.408045977,0.277777777,0.3821214266207026,108.65572706082966,0.218390804,0.206896551,0.079365079,0.27173913,174
milb_tmp:pedro_tovar:2024,2024,MiLB,MIL,Pedro Tovar,0.3006993,0.356687898,0.419580419,0.3826163604760625,113.98734912037186,0.082802547,0.27388535,0.118881119,0.425742574,157
milb_tmp:keiver_garcia:2024,2024,MiLB,NYM,Keiver Garcia,0.258064516,0.379679144,0.303225806,0.3643905676622441,99.89404250963015,0.14973262,0.219251336,0.04516129,0.347826086,187
milb_tmp:adriander_mejia:2024,2024,MiLB,BAL,Adriander Mejia,0.29113924,0.419191919,0.392405063,0.4159992662343112,127.96107074034194,0.166666666,0.075757575,0.101265823,0.305555555,198
milb_tmp:martin_tamara:2024,2024,MiLB,DET,Martin Tamara,0.19117647,0.319018404,0.308823529,0.3248554924387991,68.86225973924086,0.096969696,0.236363636,0.117647059,0.25,165
