retroID,mlbam
,458560
,831742
,451751
,693803
,458909
,814276
,692023
heale101,115663
carrc106,112027
,473596
,452918
longr102,818445
,440476
,680846
,821245
reedh101,120992
,492831
,814911
,476117
,811697
,581482
,469191
,456394
gioll001,608337
,477478
,664122
shaus101,122069
,806642
,532959
,642447
,623250
olive001,658668
,466371
,670708
,544363
,627387
,465742
,822956
,672619
brazf101,111408
,815939
,809319
,819387
,688820
,650623
wilsf901,
,437015
brilf101,111470
,441832
,690800
,816871
dohee101,113420
,667540
,439547
,819358
,823049
,453602
,486202
,464873
,674372
,660724
,669238
,468476
hernr801,446973
,667229
,542685
,682507
,447391
,465092
,822099
,666847
,682075
benns001,110875
,468833
,436419
,470415
,622599
,518818
,681956
,465264
,699906
,519154
,829865
,555453
,666503
,701632
gerkg101,114717
,473117
,461021
,666196
,565190
,821144
,593824
,672859
,442053
,683227
,607902
,811244
,608047
dailj101,112994
,806071
,666048
,672797
,435826
locat001,641796
,681615
barka001,406723
,461885
,473181
gords102,819325
,818892
,556743
,462111
,489693
,650341
,543703
,477495
,543183
,519211
zimmj003,519455
,465560
,470257
,681170
,805311
,808136
,816496
,821364
,489737
,809797
,607517
,814707
sandr101,121675
beasj001,676886
,445427
,453206
,663424
,438097
,673907
,831924
,802512
,824274
,451626
,593985
,684937
,815182
,452891
,516508
cantt101,111967
,694766
,562154
,809249
,676057
millj107,119141
,474272
,457851
,464442
,663725
,695670
,444862
,440889
,694705
,441406
,467329
,569621
,467711
,445084
lakee101,117415
,689514
,674051
birdk001,613317
,546758
,472500
,666686
,543441
,466121
,661533
,818023
,502830
,544515
,514905
,802551
,683349
,456281
,439529
,460248
hartg104,819135
,477082
,641733
,441928
,679675
whitg102,124205
,463469
makof101,118182
,692227
byrnj902,490997
baptt001,136270
,543721
,573210
,800832
browe105,820341
,676209
,455592
,692221
,443721
,690100
macwk101,118106
herry001,506648
bovet901,
,650367
,822371
,832526
,682589
,687326
,832404
,460608
,702068
,452736
,622378
kerrj102,117017
,702693
,452212
,664724
,442396
,440758
,674913
clare101,112321
,692574
,673819
,594905
,472047
,670386
heatn001,115683
,555298
,620440
,674016
egbej001,455090
,815542
reidb102,121028
,608680
,438677
,686843
,451281
,460908
,832407
nevip001,119732
whitj106,124177
jennt101,820802
colej106,112475
laudt001,117537
,602101
,437511
,523270
,680941
,463639
,824892
,650873
,518512
,500234
,434585
,522809
nearh101,817990
steej001,122710
,686420
,801711
,822409
,463263
,581140
,532136
,802101
,670616
,687636
,808013
,439584
,441531
,684551
,805832
,543578
,495664
,449811
,528332
,702694
,807433
,594846
,437678
,542576
,674376
,650438
oterd001,519096
,439201
,809997
,668925
,595442
,462401
,596335
margj101,118282
,692183
,561867
,442637
assaj001,665871
,667638
,455429
,622200
,668907
,668842
,573448
,461372
,700761
,687687
,534369
,688601
,831119
,572817
chead101,112224
,669217
,694476
,815394
,827658
,829786
,690218
,830769
,807319
,444900
,698866
,444003
,688004
johna001,407053
,688453
,689926
plawk001,608700
,695479
,440293
,622577
,594922
,691641
smitd105,122370
,441515
,607235
barrs101,110634
,516861
keenj103,116898
,830573
,600906
,808011
,472638
holba001,116058
,502262
,642506
,800264
