year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1909,NL,1242,4543,150,3573,4467.0,3.6578099838969402,0.12077294685990338,2.8768115942028984,3.5966183574879227,1909,3.6578099838969402
1910,AL,1256,4577,147,3395,5262.0,3.6441082802547773,0.11703821656050956,2.703025477707006,4.189490445859873,1910,3.6441082802547773
1910,NL,1242,5007,214,4024,4415.0,4.031400966183575,0.1723027375201288,3.239935587761675,3.5547504025764893,1910,4.031400966183575
1911,AL,1228,5658,198,3559,0.0,4.607491856677524,0.16123778501628663,2.8982084690553744,0.0,1911,4.607491856677524
1911,NL,1246,5506,316,4279,4798.0,4.418940609951846,0.2536115569823435,3.4341894060995184,3.850722311396469,1911,4.418940609951846
1912,AL,1238,5495,156,3794,0.0,4.438610662358643,0.1260096930533118,3.0646203554119547,0.0,1912,4.438610662358643
1912,NL,1226,5659,287,3889,4627.0,4.615823817292006,0.23409461663947798,3.1721044045677,3.7740619902120716,1912,4.615823817292006
1913,AL,1228,4823,159,3743,4670.0,3.9275244299674266,0.12947882736156352,3.048045602605863,3.8029315960912053,1913,3.9275244299674266
1913,NL,1240,5141,310,3530,4605.0,4.1459677419354835,0.25,2.846774193548387,3.713709677419355,1913,4.1459677419354835
1914,AL,1262,4610,148,3920,5111.0,3.652931854199683,0.11727416798732171,3.1061806656101427,4.049920760697306,1914,3.652931854199683
1914,FL,1248,5124,296,3623,5159.0,4.105769230769231,0.23717948717948717,2.903044871794872,4.133814102564102,1914,4.105769230769231
1914,NL,1250,4798,267,3600,4655.0,3.8384,0.2136,2.88,3.724,1914,3.8384
1915,AL,1242,4922,160,4217,4868.0,3.962962962962963,0.1288244766505636,3.395330112721417,3.919484702093398,1915,3.962962962962963
1915,FL,1238,4769,250,3637,4588.0,3.8521809369951536,0.20193861066235863,2.9378029079159935,3.7059773828756057,1915,3.8521809369951536
1915,NL,1248,4522,225,3266,4728.0,3.6233974358974357,0.18028846153846154,2.6169871794871793,3.7884615384615383,1915,3.6233974358974357
1916,AL,1250,4599,144,4062,4707.0,3.6792,0.1152,3.2496,3.7656,1916,3.6792
1916,NL,1244,4290,239,3015,4829.0,3.4485530546623795,0.19212218649517684,2.4236334405144695,3.8818327974276525,1916,3.4485530546623795
1917,AL,1244,4540,133,3856,4192.0,3.64951768488746,0.10691318327974277,3.09967845659164,3.369774919614148,1917,3.64951768488746
1917,NL,1250,4408,202,3054,4488.0,3.5264,0.1616,2.4432,3.5904,1917,3.5264
1918,AL,1016,3703,96,3207,3004.0,3.6446850393700787,0.09448818897637795,3.156496062992126,2.956692913385827,1918,3.6446850393700787
1918,NL,1016,3682,139,2541,2921.0,3.624015748031496,0.13681102362204725,2.500984251968504,2.875,1918,3.624015748031496
1919,AL,1120,4586,240,3367,3561.0,4.0946428571428575,0.21428571428571427,3.00625,3.179464285714286,1919,4.0946428571428575
1919,NL,1116,4071,207,2615,3288.0,3.6478494623655915,0.18548387096774194,2.3431899641577063,2.946236559139785,1919,3.6478494623655915
1920,AL,1234,5869,369,3809,3653.0,4.756077795786061,0.29902755267423015,3.086709886547812,2.960291734197731,1920,4.756077795786061
1920,NL,1234,4893,261,3016,3632.0,3.9651539708265804,0.21150729335494328,2.4440842787682335,2.9432739059967585,1920,3.9651539708265804
1921,AL,1232,6303,477,3965,3583.0,5.116071428571429,0.3871753246753247,3.218344155844156,2.908279220779221,1921,5.116071428571429
1921,NL,1226,5632,460,2906,3380.0,4.593800978792822,0.37520391517128876,2.3703099510603587,2.7569331158238173,1921,4.593800978792822
1922,AL,1236,5865,525,3797,3573.0,4.745145631067961,0.42475728155339804,3.072006472491909,2.8907766990291264,1922,4.745145631067961
1922,NL,1240,6194,530,3455,3380.0,4.995161290322581,0.4274193548387097,2.786290322580645,2.725806451612903,1922,4.995161290322581
1923,AL,1232,5887,442,4092,3611.0,4.778409090909091,0.3587662337662338,3.3214285714285716,2.9310064935064934,1923,4.778409090909091
1923,NL,1234,5987,538,3494,3408.0,4.851701782820097,0.4359805510534846,2.831442463533225,2.761750405186386,1923,4.851701782820097
1924,AL,1234,6141,397,4136,3249.0,4.976499189627228,0.3217179902755267,3.3517017828200975,2.6329011345218802,1924,4.976499189627228
1924,NL,1228,5581,499,3216,3408.0,4.5447882736156355,0.40635179153094464,2.6188925081433223,2.775244299674267,1924,4.5447882736156355
1925,AL,1232,6401,533,4289,3308.0,5.195616883116883,0.43262987012987014,3.481331168831169,2.685064935064935,1925,5.195616883116883
1925,NL,1224,6195,636,3460,3373.0,5.061274509803922,0.5196078431372549,2.826797385620915,2.755718954248366,1925,5.061274509803922
1926,AL,1232,5831,424,4232,3452.0,4.732954545454546,0.34415584415584416,3.435064935064935,2.801948051948052,1926,4.732954545454546
1926,NL,1236,5612,439,3473,3359.0,4.540453074433657,0.3551779935275081,2.809870550161812,2.7176375404530746,1926,4.540453074433657
1927,AL,1238,6094,439,4018,3341.0,4.922455573505654,0.3546042003231018,3.245557350565428,2.6987075928917608,1927,4.922455573505654
1927,NL,1234,5651,483,3413,3491.0,4.579416531604538,0.3914100486223663,2.76580226904376,2.8290113452188006,1927,4.579416531604538
1928,AL,1234,5876,483,3828,3719.0,4.761750405186386,0.3914100486223663,3.1021069692058347,3.0137763371150728,1928,4.761750405186386
1928,NL,1228,5769,610,3848,3410.0,4.697882736156352,0.496742671009772,3.1335504885993486,2.7768729641693812,1928,4.697882736156352
1929,AL,1226,6138,595,4054,3578.0,5.006525285481239,0.48531810766721045,3.306688417618271,2.9184339314845023,1929,5.006525285481239
1929,NL,1232,6609,754,3961,3465.0,5.3644480519480515,0.612012987012987,3.2150974025974026,2.8125,1929,5.3644480519480515
1930,AL,1232,6670,673,3975,4088.0,5.413961038961039,0.5462662337662337,3.226461038961039,3.3181818181818183,1930,5.413961038961039
1930,NL,1236,7025,892,3691,3848.0,5.683656957928803,0.7216828478964401,2.986245954692557,3.1132686084142396,1930,5.683656957928803
1931,AL,1236,6355,576,4168,4047.0,5.141585760517799,0.46601941747572817,3.372168284789644,3.2742718446601944,1931,5.141585760517799
1931,NL,1236,5537,493,3502,3862.0,4.479773462783172,0.3988673139158576,2.8333333333333335,3.1245954692556634,1931,4.479773462783172
1932,AL,1230,6436,707,4405,4029.0,5.232520325203252,0.5747967479674797,3.5813008130081303,3.2756097560975608,1932,5.232520325203252
1932,NL,1236,5680,651,3141,3857.0,4.5954692556634305,0.5266990291262136,2.54126213592233,3.120550161812298,1932,4.5954692556634305
1933,AL,1216,6080,607,4370,3904.0,5.0,0.49917763157894735,3.59375,3.210526315789474,1933,5.0
1933,NL,1236,4908,460,2979,3528.0,3.970873786407767,0.37216828478964403,2.4101941747572817,2.854368932038835,1933,3.970873786407767
1934,AL,1230,6305,688,4615,4279.0,5.126016260162602,0.5593495934959349,3.752032520325203,3.4788617886178863,1934,5.126016260162602
1934,NL,1216,5695,656,3247,4150.0,4.683388157894737,0.5394736842105263,2.6702302631578947,3.4128289473684212,1934,4.683388157894737
1935,AL,1222,6220,663,4544,3936.0,5.090016366612112,0.5425531914893617,3.718494271685761,3.220949263502455,1935,5.090016366612112
1935,NL,1234,5806,662,3284,4072.0,4.705024311183144,0.5364667747163695,2.6612641815235007,3.299837925445705,1935,4.705024311183144
1936,AL,1236,7009,758,4847,4023.0,5.6707119741100325,0.6132686084142395,3.9215210355987056,3.254854368932039,1936,5.6707119741100325
1936,NL,1240,5837,606,3565,4203.0,4.707258064516129,0.48870967741935484,2.875,3.389516129032258,1936,4.707258064516129
1937,AL,1244,6503,806,4773,4443.0,5.227491961414791,0.6479099678456591,3.8368167202572345,3.5715434083601285,1937,5.227491961414791
1937,NL,1234,5567,624,3667,4553.0,4.511345218800648,0.5056726094003241,2.971636952998379,3.6896272285251217,1937,4.511345218800648
1938,AL,1226,6581,864,4924,4251.0,5.367862969004894,0.7047308319738989,4.0163132137031,3.467373572593801,1938,5.367862969004894
1938,NL,1220,5388,611,3708,4093.0,4.416393442622951,0.5008196721311475,3.039344262295082,3.3549180327868853,1938,4.416393442622951
