year,role,mlbam,player_name,pitch_type,pitches,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,chase_rate,csw_rate,avg_spin,avg_ext,h_mov_in,v_mov_in,segment,edge_rate,heart_rate
2015,pit,112526,,SI,58,0.0120406892256591,0.7068965517241379,0.0909090909090909,0.1111111111111111,0.0,0.3529411764705882,0.3448275862068966,2147.6964285714284,5.341071428571428,-15.97862068965517,8.807586206896552,behind,,
2015,pit,112526,,SL,43,0.0089267178741955,0.4883720930232558,0.1363636363636363,0.0833333333333333,0.2,0.4545454545454545,0.2558139534883721,2307.230769230769,4.978048780487805,2.7934883720930235,4.141395348837209,,,
2015,pit,112526,,SL,12,0.0024911770811708,0.4166666666666667,0.125,0.0,0.3333333333333333,0.4285714285714285,0.0833333333333333,2234.5,4.991666666666666,2.42,1.67,two_strike,,
2015,pit,112526,,SL,10,0.0020759809009757,0.2,0.4,0.0,0.5,0.5,0.3,2242.8,5.0,3.6599999999999993,1.86,ahead,,
2015,pit,112526,,SL,9,0.0018683828108781,0.5555555555555556,0.1428571428571428,0.25,0.0,0.75,0.2222222222222222,2246.8888888888887,4.844444444444444,3.453333333333333,4.906666666666667,behind,,
2015,pit,115629,,CH,10,0.0097751710654936,0.2,0.0,0.0,0.0,0.125,0.3,1709.888888888889,6.088888888888889,-11.196000000000002,9.192,,,
2015,pit,115629,,CH,2,0.0019550342130987,0.5,0.0,0.0,0.0,1.0,0.5,1750.0,6.3,-9.0,11.16,two_strike,,
2015,pit,115629,,CH,6,0.0058651026392961,0.1666666666666666,0.0,0.0,0.0,0.2,0.3333333333333333,1704.0,6.159999999999999,-11.54,9.24,behind,,
2015,pit,115629,,FF,85,0.0830889540566959,0.611764705882353,0.2045454545454545,0.1621621621621621,0.4285714285714285,0.2121212121212121,0.3176470588235294,1996.565789473684,6.242307692307692,-11.967529411764708,12.244235294117647,,,
2015,pit,115629,,FF,23,0.0224828934506353,0.5652173913043478,0.1875,0.1666666666666666,0.25,0.4,0.1739130434782608,1998.4545454545453,6.227272727272728,-11.285217391304348,12.777391304347828,two_strike,,
2015,pit,115629,,FF,21,0.0205278592375366,0.5714285714285714,0.3636363636363636,0.2222222222222222,1.0,0.2222222222222222,0.3333333333333333,1920.3809523809523,6.204761904761904,-10.96,12.994285714285716,ahead,,
2015,pit,115629,,FF,26,0.0254154447702834,0.6538461538461539,0.125,0.0714285714285714,0.5,0.2222222222222222,0.2692307692307692,2044.25,6.2250000000000005,-12.600000000000003,11.363076923076925,behind,,
2015,pit,115629,,SI,2,0.0019550342130987,0.5,0.0,0.0,0.0,0.0,0.0,1994.0,6.0,-15.72,6.42,,,
2015,pit,115629,,SI,1,0.0009775171065493,1.0,0.0,0.0,0.0,0.0,0.0,2032.0,6.0,-15.36,6.24,ahead,,
