role,year,mlbam,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,Z_Swings,O_Swings,Z_Whiffs,O_Whiffs,CS,edge_cnt,heart_cnt,chase_cnt,group_total,usage_rate,zone_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,z_csw_rate,csw_rate,edge_rate,heart_rate,chase_rate,batter,vs_hand,z_whiff_rate,o_whiff_rate
bat,2015,120074,SL,behind,vsL,24,3.0,21.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,114.0,0.2105263157894736,0.125,0.0,0.0952380952380952,,0.0,0.0,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0952380952380952,120074.0,vsL,,
bat,2015,120074,SL,two_strike,vsL,88,28.0,60.0,2.0,8.0,2.0,8.0,1.0,13.0,2.0,8.0,539.0,0.1632653061224489,0.3181818181818182,0.0714285714285714,0.1333333333333333,0.0,0.0,0.0714285714285714,0.125,0.1477272727272727,0.0227272727272727,0.1333333333333333,120074.0,vsL,1.0,
bat,2015,120074,SL,,vsL,170,69.0,101.0,8.0,12.0,8.0,12.0,34.0,38.0,5.0,12.0,1413.0,0.1203113941967445,0.4058823529411764,0.1159420289855072,0.1188118811881188,0.0,0.0,0.1159420289855072,0.3176470588235294,0.2235294117647059,0.0294117647058823,0.1188118811881188,120074.0,vsL,1.0,
bat,2015,120074,ST,,vsL,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1413.0,0.0014154281670205,1.0,0.0,,,,0.0,0.0,0.0,0.5,,120074.0,vsL,,
bat,2015,120074,SV,two_strike,vsL,5,2.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,539.0,0.0092764378478664,0.4,0.0,0.6666666666666666,,0.0,0.0,0.4,0.2,0.0,0.6666666666666666,120074.0,vsL,,
bat,2015,121347,CH,ahead,vsR,19,10.0,9.0,3.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,186.0,0.1021505376344086,0.5263157894736842,0.3,0.0,0.0,,0.3,0.3684210526315789,0.1578947368421052,0.0526315789473684,0.0,121347.0,vsR,1.0,
bat,2015,121347,CH,behind,vsR,12,2.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,134.0,0.0895522388059701,0.1666666666666666,0.5,0.1,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.1,121347.0,vsR,1.0,
bat,2015,121347,CH,two_strike,vsR,64,22.0,42.0,7.0,8.0,7.0,8.0,1.0,9.0,2.0,8.0,539.0,0.1187384044526901,0.34375,0.3181818181818182,0.1904761904761904,0.0,0.0,0.3181818181818182,0.25,0.140625,0.03125,0.1904761904761904,121347.0,vsR,1.0,
bat,2015,121347,CH,,vsR,136,60.0,76.0,19.0,15.0,19.0,15.0,17.0,26.0,9.0,15.0,1476.0,0.0921409214092141,0.4411764705882353,0.3166666666666666,0.1973684210526315,0.0,0.0,0.3166666666666666,0.375,0.1911764705882352,0.0661764705882353,0.1973684210526315,121347.0,vsR,1.0,
bat,2015,121347,CU,ahead,vsR,3,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,186.0,0.0161290322580645,0.6666666666666666,0.0,0.0,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,121347.0,vsR,,
bat,2015,121347,CU,behind,vsR,12,4.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0895522388059701,0.3333333333333333,0.25,0.0,0.0,,0.25,0.0833333333333333,0.0833333333333333,0.0,0.0,121347.0,vsR,1.0,
bat,2015,121347,CU,two_strike,vsR,46,17.0,29.0,1.0,8.0,1.0,8.0,5.0,10.0,0.0,8.0,539.0,0.085343228200371,0.3695652173913043,0.0588235294117647,0.2758620689655172,0.0,0.0,0.0588235294117647,0.3043478260869565,0.217391304347826,0.0,0.2758620689655172,121347.0,vsR,1.0,
bat,2015,121347,CU,,vsR,96,47.0,49.0,7.0,8.0,7.0,8.0,29.0,25.0,5.0,8.0,1476.0,0.065040650406504,0.4895833333333333,0.1489361702127659,0.1632653061224489,0.0,0.0,0.1489361702127659,0.4583333333333333,0.2604166666666667,0.0520833333333333,0.1632653061224489,121347.0,vsR,1.0,
bat,2015,121347,EP,two_strike,vsR,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0018552875695732,0.0,,0.0,,,,0.0,0.0,0.0,0.0,121347.0,vsR,,
bat,2015,121347,EP,,vsR,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,0.0006775067750677,0.0,,0.0,,,,0.0,0.0,0.0,0.0,121347.0,vsR,,
bat,2015,121347,FC,ahead,vsR,10,8.0,2.0,1.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,186.0,0.053763440860215,0.8,0.125,0.0,0.0,,0.125,0.4,0.5,0.1,0.0,121347.0,vsR,1.0,
bat,2015,121347,FC,behind,vsR,7,2.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,134.0,0.0522388059701492,0.2857142857142857,0.5,0.4,0.0,0.0,0.5,0.4285714285714285,0.1428571428571428,0.0,0.4,121347.0,vsR,1.0,
bat,2015,121347,FC,two_strike,vsR,32,12.0,20.0,1.0,2.0,1.0,2.0,5.0,9.0,2.0,2.0,539.0,0.059369202226345,0.375,0.0833333333333333,0.1,0.0,0.0,0.0833333333333333,0.25,0.28125,0.0625,0.1,121347.0,vsR,1.0,
bat,2015,121347,FC,,vsR,89,46.0,43.0,6.0,8.0,6.0,8.0,17.0,23.0,10.0,8.0,1476.0,0.0602981029810298,0.5168539325842697,0.1304347826086956,0.1860465116279069,0.0,0.0,0.1304347826086956,0.348314606741573,0.2584269662921348,0.1123595505617977,0.1860465116279069,121347.0,vsR,1.0,
bat,2015,121347,FF,ahead,vsR,80,45.0,35.0,5.0,1.0,5.0,1.0,13.0,21.0,9.0,1.0,186.0,0.4301075268817204,0.5625,0.1111111111111111,0.0285714285714285,0.0,0.0,0.1111111111111111,0.2375,0.2625,0.1125,0.0285714285714285,121347.0,vsR,1.0,
bat,2015,121347,FF,behind,vsR,53,17.0,36.0,4.0,1.0,4.0,1.0,2.0,9.0,2.0,1.0,134.0,0.3955223880597014,0.320754716981132,0.2352941176470588,0.0277777777777777,0.0,0.0,0.2352941176470588,0.1320754716981132,0.1698113207547169,0.0377358490566037,0.0277777777777777,121347.0,vsR,1.0,
bat,2015,121347,FF,two_strike,vsR,201,93.0,108.0,14.0,6.0,14.0,6.0,11.0,55.0,12.0,6.0,539.0,0.37291280148423,0.4626865671641791,0.1505376344086021,0.0555555555555555,0.0,0.0,0.1505376344086021,0.154228855721393,0.2736318407960199,0.0597014925373134,0.0555555555555555,121347.0,vsR,1.0,
bat,2015,121347,FF,,vsR,533,274.0,259.0,41.0,13.0,41.0,13.0,103.0,118.0,33.0,13.0,1476.0,0.3611111111111111,0.5140712945590994,0.1496350364963503,0.0501930501930501,0.0,0.0,0.1496350364963503,0.2945590994371482,0.2213883677298311,0.0619136960600375,0.0501930501930501,121347.0,vsR,1.0,
bat,2015,121347,FO,two_strike,vsR,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,539.0,0.0018552875695732,0.0,,1.0,,0.0,,1.0,0.0,0.0,1.0,121347.0,vsR,,
bat,2015,121347,FO,,vsR,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1476.0,0.0006775067750677,0.0,,1.0,,0.0,,1.0,0.0,0.0,1.0,121347.0,vsR,,
bat,2015,121347,FS,ahead,vsR,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,186.0,0.010752688172043,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,121347.0,vsR,1.0,
bat,2015,121347,FS,behind,vsR,8,3.0,5.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,134.0,0.0597014925373134,0.375,0.3333333333333333,0.6,0.0,0.0,0.3333333333333333,0.5,0.125,0.125,0.6,121347.0,vsR,1.0,
bat,2015,121347,FS,two_strike,vsR,12,2.0,10.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,539.0,0.0222634508348794,0.1666666666666666,0.0,0.2,,0.0,0.0,0.25,0.0,0.0,0.2,121347.0,vsR,,
bat,2015,121347,FS,,vsR,28,9.0,19.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,4.0,1476.0,0.018970189701897,0.3214285714285714,0.1111111111111111,0.2105263157894736,0.0,0.0,0.1111111111111111,0.3214285714285714,0.1071428571428571,0.0714285714285714,0.2105263157894736,121347.0,vsR,1.0,
bat,2015,121347,IN,ahead,vsR,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0376344086021505,0.0,,0.0,,,,0.0,0.0,0.0,0.0,121347.0,vsR,,
bat,2015,121347,IN,,vsR,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,0.005420054200542,0.0,,0.0,,,,0.0,0.0,0.0,0.0,121347.0,vsR,,
bat,2015,121347,KC,behind,vsR,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0223880597014925,0.6666666666666666,0.0,0.0,,,0.0,0.0,0.3333333333333333,0.0,0.0,121347.0,vsR,,
bat,2015,121347,KC,two_strike,vsR,8,4.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,539.0,0.0148423005565862,0.5,0.0,0.5,,0.0,0.0,0.25,0.125,0.125,0.5,121347.0,vsR,,
bat,2015,121347,KC,,vsR,22,9.0,13.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,1.0,1476.0,0.0149051490514905,0.4090909090909091,0.1111111111111111,0.0769230769230769,0.0,0.0,0.1111111111111111,0.5,0.2272727272727272,0.0454545454545454,0.0769230769230769,121347.0,vsR,1.0,
bat,2015,121347,KN,ahead,vsR,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,186.0,0.010752688172043,0.5,0.0,0.0,,,0.0,0.0,0.0,0.5,0.0,121347.0,vsR,,
bat,2015,121347,KN,two_strike,vsR,8,3.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,539.0,0.0148423005565862,0.375,0.3333333333333333,0.2,0.0,0.0,0.3333333333333333,0.25,0.25,0.0,0.2,121347.0,vsR,1.0,
bat,2015,121347,KN,,vsR,29,17.0,12.0,3.0,0.0,3.0,0.0,2.0,5.0,6.0,0.0,1476.0,0.0196476964769647,0.5862068965517241,0.1764705882352941,0.0,0.0,,0.1764705882352941,0.1724137931034483,0.1724137931034483,0.2068965517241379,0.0,121347.0,vsR,1.0,
bat,2015,121347,SI,ahead,vsR,42,20.0,22.0,4.0,1.0,4.0,1.0,8.0,11.0,3.0,1.0,186.0,0.2258064516129032,0.4761904761904761,0.2,0.0454545454545454,0.0,0.0,0.2,0.3095238095238095,0.2619047619047619,0.0714285714285714,0.0454545454545454,121347.0,vsR,1.0,
bat,2015,121347,SI,behind,vsR,15,4.0,11.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,134.0,0.1119402985074626,0.2666666666666666,0.5,0.1818181818181818,0.0,0.0,0.5,0.2666666666666666,0.2,0.0666666666666666,0.1818181818181818,121347.0,vsR,1.0,
bat,2015,121347,SI,two_strike,vsR,84,42.0,42.0,4.0,4.0,4.0,4.0,6.0,21.0,3.0,4.0,539.0,0.1558441558441558,0.5,0.0952380952380952,0.0952380952380952,0.0,0.0,0.0952380952380952,0.1666666666666666,0.25,0.0357142857142857,0.0952380952380952,121347.0,vsR,1.0,
bat,2015,121347,SI,,vsR,279,133.0,146.0,18.0,7.0,18.0,7.0,57.0,59.0,13.0,7.0,1476.0,0.1890243902439024,0.4767025089605735,0.1353383458646616,0.047945205479452,0.0,0.0,0.1353383458646616,0.2939068100358423,0.2114695340501792,0.046594982078853,0.047945205479452,121347.0,vsR,1.0,
bat,2015,121347,SL,ahead,vsR,21,9.0,12.0,0.0,3.0,0.0,3.0,4.0,3.0,1.0,3.0,186.0,0.1129032258064516,0.4285714285714285,0.0,0.25,,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0476190476190476,0.25,121347.0,vsR,,
bat,2015,121347,SL,behind,vsR,23,7.0,16.0,3.0,4.0,3.0,4.0,1.0,5.0,0.0,4.0,134.0,0.1716417910447761,0.3043478260869565,0.4285714285714285,0.25,0.0,0.0,0.4285714285714285,0.3478260869565217,0.217391304347826,0.0,0.25,121347.0,vsR,1.0,
bat,2015,121347,SL,two_strike,vsR,82,31.0,51.0,5.0,8.0,5.0,8.0,4.0,14.0,3.0,8.0,539.0,0.1521335807050092,0.3780487804878049,0.1612903225806451,0.1568627450980392,0.0,0.0,0.1612903225806451,0.2073170731707317,0.1707317073170731,0.0365853658536585,0.1568627450980392,121347.0,vsR,1.0,
bat,2015,121347,SL,,vsR,253,109.0,144.0,17.0,24.0,17.0,24.0,45.0,47.0,17.0,24.0,1476.0,0.1714092140921409,0.4308300395256917,0.1559633027522936,0.1666666666666666,0.0,0.0,0.1559633027522936,0.3399209486166007,0.1857707509881423,0.067193675889328,0.1666666666666666,121347.0,vsR,1.0,
bat,2015,121347,ST,behind,vsR,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0074626865671641,0.0,,0.0,,,,0.0,0.0,0.0,0.0,121347.0,vsR,,
bat,2015,121347,SV,,vsR,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1476.0,0.0006775067750677,1.0,0.0,,,,0.0,1.0,1.0,0.0,,121347.0,vsR,,
bat,2015,133380,CH,ahead,vsR,3,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,98.0,0.0306122448979591,1.0,0.3333333333333333,,0.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,133380.0,vsR,1.0,
bat,2015,133380,CH,behind,vsR,7,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.063063063063063,0.1428571428571428,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,133380.0,vsR,,
bat,2015,133380,CH,two_strike,vsR,31,12.0,19.0,0.0,4.0,0.0,4.0,0.0,5.0,2.0,4.0,358.0,0.0865921787709497,0.3870967741935484,0.0,0.2105263157894736,,0.0,0.0,0.1290322580645161,0.1612903225806451,0.064516129032258,0.2105263157894736,133380.0,vsR,,
bat,2015,133380,CH,,vsR,85,34.0,51.0,4.0,4.0,4.0,4.0,9.0,19.0,3.0,4.0,1112.0,0.0764388489208633,0.4,0.1176470588235294,0.0784313725490196,0.0,0.0,0.1176470588235294,0.2,0.2235294117647059,0.0352941176470588,0.0784313725490196,133380.0,vsR,1.0,
bat,2015,133380,CU,ahead,vsR,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,98.0,0.010204081632653,1.0,1.0,,0.0,,1.0,1.0,1.0,0.0,,133380.0,vsR,1.0,
bat,2015,133380,CU,behind,vsR,9,2.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,111.0,0.081081081081081,0.2222222222222222,0.0,0.2857142857142857,,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.2857142857142857,133380.0,vsR,,
bat,2015,133380,CU,two_strike,vsR,29,9.0,20.0,0.0,6.0,0.0,6.0,0.0,5.0,2.0,6.0,358.0,0.0810055865921787,0.3103448275862069,0.0,0.3,,0.0,0.0,0.2068965517241379,0.1724137931034483,0.0689655172413793,0.3,133380.0,vsR,,
bat,2015,133380,CU,,vsR,82,32.0,50.0,0.0,4.0,0.0,4.0,8.0,9.0,5.0,4.0,1112.0,0.0737410071942446,0.3902439024390244,0.0,0.08,,0.0,0.0,0.1463414634146341,0.1097560975609756,0.0609756097560975,0.08,133380.0,vsR,,
bat,2015,133380,FC,ahead,vsR,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,98.0,0.0306122448979591,0.6666666666666666,0.0,0.0,,,0.0,0.0,0.6666666666666666,0.0,0.0,133380.0,vsR,,
bat,2015,133380,FC,behind,vsR,12,2.0,10.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,111.0,0.1081081081081081,0.1666666666666666,0.0,0.1,,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0,0.1,133380.0,vsR,,
bat,2015,133380,FC,two_strike,vsR,31,11.0,20.0,2.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,358.0,0.0865921787709497,0.3548387096774194,0.1818181818181818,0.05,0.0,0.0,0.1818181818181818,0.0967741935483871,0.1612903225806451,0.1290322580645161,0.05,133380.0,vsR,1.0,
bat,2015,133380,FC,,vsR,62,27.0,35.0,1.0,7.0,1.0,7.0,6.0,14.0,3.0,7.0,1112.0,0.0557553956834532,0.4354838709677419,0.037037037037037,0.2,0.0,0.0,0.037037037037037,0.2258064516129032,0.2258064516129032,0.0483870967741935,0.2,133380.0,vsR,1.0,
bat,2015,133380,FF,ahead,vsR,49,36.0,13.0,2.0,0.0,2.0,0.0,10.0,17.0,6.0,0.0,98.0,0.5,0.7346938775510204,0.0555555555555555,0.0,0.0,,0.0555555555555555,0.2448979591836734,0.3469387755102041,0.1224489795918367,0.0,133380.0,vsR,1.0,
bat,2015,133380,FF,behind,vsR,35,10.0,25.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,111.0,0.3153153153153153,0.2857142857142857,0.1,0.04,0.0,0.0,0.1,0.1142857142857142,0.1142857142857142,0.0,0.04,133380.0,vsR,1.0,
bat,2015,133380,FF,two_strike,vsR,109,58.0,51.0,4.0,3.0,4.0,3.0,0.0,33.0,3.0,3.0,358.0,0.3044692737430167,0.5321100917431193,0.0689655172413793,0.0588235294117647,0.0,0.0,0.0689655172413793,0.0642201834862385,0.3027522935779816,0.0275229357798165,0.0588235294117647,133380.0,vsR,1.0,
bat,2015,133380,FF,,vsR,392,217.0,175.0,19.0,4.0,19.0,4.0,69.0,99.0,36.0,4.0,1112.0,0.3525179856115107,0.5535714285714286,0.0875576036866359,0.0228571428571428,0.0,0.0,0.0875576036866359,0.2346938775510204,0.2525510204081632,0.0918367346938775,0.0228571428571428,133380.0,vsR,1.0,
bat,2015,133380,FS,ahead,vsR,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,98.0,0.0204081632653061,1.0,0.0,,,,0.0,0.5,1.0,0.0,,133380.0,vsR,,
bat,2015,133380,FS,two_strike,vsR,6,2.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,358.0,0.0167597765363128,0.3333333333333333,0.0,0.25,,0.0,0.0,0.1666666666666666,0.3333333333333333,0.0,0.25,133380.0,vsR,,
