mlb_id,retro_id,bbref_id,full_name
117084.0,kingl102,kingly01,Lynn King
124568.0,woodk001,woodske01,Kerry Woodson
113526.0,doylj105,doyleje01,Jess Doyle
122044.0,shang101,shanagr01,Greg Shanahan
122671.0,stanj103,stanljo02,Joe Stanley
457826.0,mastt001,mastnto01,Tom Mastny
676914.0,schnd001,schneda03,Davis Schneider
819103.0,haynl101,haynele01,Leroy Haynes
120783.0,pruee101,pruesea01,Earl Pruess
282562.0,petta002,pettyad01,Adam Pettyjohn
434670.0,ramih003,ramirha01,Hanley Ramírez
121701.0,sante101,santred01,Edward Santry
121198.0,riggj101,riggejo01,Joe Riggert
819113.0,hayej104,hayesjo01,Johnny Hayes
110472.0,bakef103,bakerfl01,Floyd Baker
819859.0,davig104,davisg04,G. Davis
819510.0,forbf101,,Frank Forbes
117951.0,low-f101,lowfl01,Fletcher Low
121564.0,russr102,russere01,Reb Russell
642094.0,smitt002,smithty01,Tyler Smith
116497.0,jarvr102,jarviro01,Roy Jarvis
819697.0,duffb102,duffybi01,Bill Duffy
816518.0,wilse103,wilsoel01,Elmer Wilson
111982.0,cardl101,cardele01,Leo Cárdenas
119805.0,nippa001,nippeal01,Al Nipper
118137.0,mageb101,mageebi01,Bill Magee
115849.0,herrh101,herrihe01,Herb Herring
114941.0,goocl101,goochle01,Lee Gooch
448609.0,sippt001,sippto01,Tony Sipp
346858.0,valee002,valener01,Eric Valent
111399.0,brask101,brashki01,Kitty Brashear
112566.0,conlj101,conlojo01,Jocko Conlon
117893.0,longj101,longje01,Jeoff Long
119053.0,milem101,mileymi01,Mike Miley
118173.0,mailw101,mailsdu01,Duster Mails
421684.0,snelc001,snellch02,Chris Snelling
150034.0,creed001,creekdo01,Doug Creek
116617.0,johnr101,johnsra03,Randy Johnson
119193.0,mitcj001,mitchjo02,John Mitchell
434705.0,repkj001,repkoja01,Jason Repko
227495.0,durrt001,durritr01,Trent Durrington
124538.0,woodj101,woodjo03,Joe Wood
446290.0,moskd001,moskoda01,Daniel Moskos
120848.0,quint101,quinnto01,Tom Quinn
119205.0,mittr101,mittera01,Ralph Mitterling
122134.0,shere101,sherled01,Ed Sherling
501869.0,taylg001,taylogr01,Graham Taylor
285064.0,voger001,vogelry01,Ryan Vogelsong
117006.0,kepsk001,kepshku01,Kurt Kepshire
460621.0,spean001,spearna01,Nate Spears
702332.0,durbc002,durbica01,Caleb Durbin
666674.0,colie001,colined01,Edwar Colina
132620.0,sadld001,sadledo01,Donnie Sadler
119257.0,montr001,montara01,Rafael Montalvo
819261.0,grosu101,,Gross
124645.0,yankg101,yankoge01,George Yankowski
506627.0,browr103,brownra99,Ray Brown
121848.0,schnp101,schnepe01,Pete Schneider
596816.0,gomer002,gomezro01,Roberto Gómez
122363.0,smitp101,smithpo01,Pop Smith
124100.0,wertj101,wertsjo01,Johnny Werts
117162.0,klinj102,klingjo02,Joe Klinger
112438.0,cockj101,cockmji01,Jim Cockman
817255.0,simpu101,simps02,Simpson
116091.0,holle102,hollyed01,Ed Holly
118140.0,magls101,maglisa01,Sal Maglie
110525.0,bandc001,bandoch01,Chris Bando
120515.0,philr101,phillre01,Red Phillips
701552.0,grana001,granian01,Andre Granillo
122443.0,smitp001,smithpe02,Pete Smith
820711.0,andeb105,anderbu02,Bubbles Anderson
123056.0,swiga101,swiglad01,Ad Swigler
492661.0,mccaj801,mccalja99,Jack McCallister
502593.0,petrj001,petrija01,Jake Petricka
118683.0,mcgaa101,mcganam01,Ambrose McGann
664180.0,hallm002,hallma02,Matt Hall
818726.0,johns107,,Slim Johnson
114369.0,foytp101,foytapa01,Paul Foytack
112157.0,cepeo101,cepedor01,Orlando Cepeda
112365.0,clarb103,clarkbo02,William Clarke
621242.0,diaze006,diazed04,Edwin Díaz
400268.0,boscj001,boscajc01,J. C. Boscán
120053.0,orouf101,o'roufr01,Frank O'Rourke
670032.0,lopen001,lopezni01,Nicky Lopez
122587.0,spenv101,spencve01,Vern Spencer
820032.0,coleg102,colemgi01,Gilbert Coleman
816468.0,,wrigh05,Wright
110274.0,andrw102,andrewa01,Wally Andrews
114017.0,farrs001,farrst01,Steve Farr
119411.0,morrm101,morrimi01,Mike Morrison
115124.0,greme101,gremmed01,Ed Gremminger
120958.0,rayff001,rayfofl01,Floyd Rayford
622270.0,mejia002,mejiaal01,Alex Mejia
113674.0,dwyej102,dwyerjo01,John Dwyer
118750.0,mcilv101,mcilrva01,Vance McIlree
115912.0,higgb102,higgibo01,Bob Higgins
117534.0,lattb101,lattibi01,Bill Lattimore
820005.0,concr101,,Rafael Concepción
113220.0,delaj103,delahji01,Jim Delahanty
644428.0,scrit001,scribtr01,Troy Scribner
115312.0,haige101,haighed01,Ed Haigh
120361.0,pelle101,pellaed01,Eddie Pellagrini
819240.0,hacks102,hackesp01,Speedball Hackett
664040.0,loweb001,lowebr01,Brandon Lowe
121935.0,scotj103,scottji02,John Scott
121080.0,rescx101,rescixa01,Xavier Rescigno
124590.0,wriga102,wrighal01,Al Wright
121840.0,schmc101,schmicr01,Crazy Schmit
518883.0,kiekd001,kiekhde01,Dean Kiekhefer
124005.0,weavj102,weaveji02,Jim Weaver
122003.0,sents101,sentest01,Steve Senteney
114004.0,fanwh101,fanweha01,Harry Fanwell
596001.0,junij001,junisja01,Jakob Junis
593576.0,nerih001,nerishe01,Héctor Neris
110726.0,beama101,beamal01,Alex Beam
467092.0,ramow001,ramoswi01,Wilson Ramos
457456.0,reyej003,reyesjo03,Jo-Jo Reyes
657248.0,ottog001,ottogl01,Glenn Otto
115333.0,halie101,haliced01,Ed Halicki
457574.0,pachj001,pachejo01,Jordan Pacheco
819687.0,duncj102,duncajo01,Joe Duncan
543744.0,satij001,satinjo01,Josh Satin
124755.0,zeilt001,zeileto01,Todd Zeile
121820.0,schlb101,schlibi01,Victor Schlitzer
502522.0,millj006,milleju02,Justin Miller
445926.0,chavj001,chaveje01,Jesse Chavez
116199.0,howac001,howarch01,Chris Howard
112126.0,castr101,castlro01,Roy Castleton
112339.0,clarb002,clarkbo04,Bobby Clark
113285.0,derrp101,derripa01,Paul Derringer
451109.0,hayeb001,hayesbr01,Brett Hayes
407870.0,pearj001,pearcjo01,Josh Pearce
696100.0,goodh001,goodmhu01,Hunter Goodman
117668.0,lemkm001,lemkema01,Mark Lemke
819429.0,,gardn03,Gardner
115545.0,harrr101,harriri01,Rit Harrison
118985.0,merum001,merulma01,Matt Merullo
117029.0,ketcf101,ketchfr01,Fred Ketchum
117368.0,kuror101,kurosry01,Ryan Kurosaki
817020.0,taylb109,taylobo02,Bob Taylor
121522.0,rozed101,rozekdi01,Dick Rozek
112703.0,corrf101,corrifr01,Frank Corridon
119800.0,nilat101,nilanto01,Tom Niland
115663.0,heale101,healyjo01,Egyptian Healy
112027.0,carrc106,carrch01,Charlie Carr
818445.0,longr102,longlre01,Red Longley
120992.0,reedh101,reedhu01,Hugh Reid
608337.0,gioll001,giolilu01,Lucas Giolito
122069.0,shaus101,shaugsh01,Shag Shaughnessy
658668.0,olive001,olivaed02,Edward Olivares
111408.0,brazf101,brazifr01,Frank Brazill
111470.0,brilf101,brillfr01,Frank Brill
113420.0,dohee101,dohened01,Ed Doheny
446973.0,hernr801,,Rudy Hernandez
110875.0,benns001,bennesh01,Shayne Bennett
114717.0,gerkg101,gerkege01,George Gerken
683227.0,freec003,freemco01,Cody Freeman
112994.0,dailj101,dailejo01,John Dailey
641796.0,locat001,locasti01,Tim Locastro
406723.0,barka001,barkean01,Andy Barkett
819325.0,gords102,,Sam Gordon
519455.0,zimmj003,zimmejo02,Jordan Zimmermann
121675.0,sandr101,sandero02,Roy Sanders
676886.0,beasj001,beaslje01,Jeremy Beasley
111967.0,cantt101,cantwto01,Tom Cantwell
119141.0,millj107,millsja01,Jack Mills
695670.0,fordh001,fordha01,Harry Ford
117415.0,lakee101,lakeed01,Eddie Lake
613317.0,birdk001,birdky01,Kyle Bird
819135.0,hartg104,hartmga01,Garrell Hartman
124205.0,whitg102,whitegu01,Guerdon Whiteley
118182.0,makof101,makosfr01,Frank Makosky
490997.0,byrnj902,,Jon Byrne
136270.0,baptt001,baptitr01,Travis Baptist
820341.0,browe105,brownel02,Elmer Brown
118106.0,macwk101,macwhke01,Keith MacWhorter
506648.0,herry001,herreyo01,Yoslán Herrera
117017.0,kerrj102,kerrjo01,John Kerr
112321.0,clare101,clarked01,Ed Clark
115683.0,heatn001,heatone01,Neal Heaton
455090.0,egbej001,egberja01,Jack Egbert
121028.0,reidb102,reidbi01,Billy Reid
119732.0,nevip001,nevinph01,Phil Nevin
124177.0,whitj106,whiteja02,Jack White
820802.0,jennt101,jennith01,Thurman Jennings
112475.0,colej106,colemje01,Jerry Coleman
117537.0,laudt001,laudnti01,Tim Laudner
817990.0,nearh101,nearshe01,Henry Nears
122710.0,steej001,steelji01,James Steels
519096.0,oterd001,oteroda01,Dan Otero
118282.0,margj101,margojo01,Joe Margoneri
665871.0,assaj001,assadja01,Javier Assad
112224.0,chead101,cheadda01,Dave Cheadle
407053.0,johna001,johnsad01,Adam Johnson
608700.0,plawk001,plaweke01,Kevin Plawecki
122370.0,smitd105,smithda01,Dave Smith
110634.0,barrs101,barrysh01,John Barry
116898.0,keenj103,keenaji02,Jimmie Keenan
116058.0,holba001,holbeaa01,Aaron Holbert
819595.0,faceu101,face02,Face
431092.0,zaveb701,,Bill Zavestoski
117356.0,kuhej101,kuheljo01,Joe Kuhel
819686.0,duncf101,duncafr01,Frank Duncan
117215.0,knoxc101,knoxcl01,Cliff Knox
113038.0,danij102,danieja02,Jack Daniels
451546.0,depaj003,depauju01,Julio De Paula
694192.0,chouj001,chourja01,Jackson Chourio
116196.0,hovlj101,hovlijo01,Joe Hovlik
122330.0,slusj001,slusajo01,Joe Slusarski
111262.0,bottr001,bottari01,Ricky Bottalico
672569.0,campg001,campegu01,Gustavo Campero
119051.0,milej101,milesji01,Jim Miles
501255.0,ynoar001,ynoara01,Rafael Ynoa
819779.0,dewis101,dewitsa01,Samuel Dewitt
534229.0,longd801,,Don Long
110468.0,baked102,bakerde01,Del Baker
112260.0,chrim101,chrismi01,Mike Chris
628333.0,despo001,despaod01,Odrisamer Despaigne
817434.0,rossd102,rossdi01,Dick Ross
112096.0,cassh101,cassaha01,Harry Cassady
120887.0,raglf101,raglafr01,Frank Ragland
119197.0,mitcd101,mitchda01,Dale Mitchell
119534.0,muram101,murakma01,Masanori Murakami
124587.0,wortc101,wortmch01,Chuck Wortman
118676.0,mcfah101,mcfarho01,Howie McFarland
121224.0,ripla101,ripleal01,Allen Ripley
116258.0,hudlr001,hudlere01,Rex Hudler
448276.0,carrb001,carrobr01,Brett Carroll
117727.0,lewad101,lewalde01,Dennis Lewallyn
114115.0,figub001,figuebi01,Bien Figueroa
120230.0,parkc001,parkecl01,Clay Parker
430944.0,jacob002,jacobbu02,Bucky Jacobsen
115485.0,harmb101,harmobo01,Bob Harmon
817226.0,,smith18,Smith
650888.0,black701,,Kara Blackstone
112900.0,cruzh102,cruzhe02,Henry Cruz
537953.0,navad002,navada01,Daniel Nava
123086.0,tannj101,tanneje01,Jesse Tannehill
115114.0,greer001,greerru01,Rusty Greer
114844.0,gland001,glanvdo01,Doug Glanville
119136.0,millj108,millijo01,John Milligan
572119.0,schup001,schuspa01,Patrick Schuster
117057.0,kille101,killied01,Ed Killian
276913.0,turnd001,turnbde01,Derrick Turnbow
572910.0,hassa002,hassaal01,Alex Hassan
112227.0,cheeh101,cheekha01,Harry Cheek
118791.0,mclab103,mclauba01,Barney McLaughlin
624427.0,gonss001,gonsast01,Stephen Gonsalves
112497.0,collo102,collior02,Orlin Collier
112014.0,carmc101,carmich01,Chet Carmichael
115132.0,grieb001,grievbe01,Ben Grieve
680694.0,bradk001,bradiky01,Kyle Bradish
818244.0,mcdaf101,mcdanfr01,Fred McDaniel
114954.0,gooda101,goodwar01,Art Goodwin
123862.0,wallj001,wallaje01,Jeff Wallace
113315.0,devlj101,devliji03,Jim Devlin
427537.0,wendh902,,Hunter Wendelstedt
120409.0,pereg101,perezge01,George Perez
111538.0,browc103,browncl01,Clint Brown
124457.0,winng101,winnge01,George Winn
119655.0,narrj001,narroje01,Jerry Narron
115127.0,greyr101,greyre01,Reddy Grey
123883.0,walsj104,walshjo03,Joe Walsh
820606.0,bankf101,bankhfr01,Fred Bankhead
112244.0,chilp101,chilepe01,Pearce Chiles
665828.0,cabro002,cabreos01,Oswaldo Cabrera
116310.0,humpm001,humphmi01,Mike Humphreys
110088.0,agosj001,agostju01,Juan Agosto
119975.0,oleat001,o'leatr01,Troy O'Leary
124713.0,younr102,youngru01,Russ Young
816459.0,wrigz102,wrighzo01,Zollie Wright
122532.0,sommp101,sommepe01,Andy Sommers
122790.0,stidp001,stidhph01,Phil Stidham
425146.0,roben001,roberna01,Nate Robertson
518577.0,cowgc001,cowgico01,Collin Cowgill
447980.0,diazt801,,Tony Diaz
817918.0,ormec101,ormecl01,Clarence Orme
541663.0,roycg701,,Greg Royce
118033.0,lyncd101,lynchda01,Danny Lynch
124593.0,wrigg103,wrighge02,Gene Wright
111201.0,bonnb001,bonneba01,Barry Bonnell
111181.0,boltc102,boltoce01,Cecil Bolton
117295.0,krauj101,krausja01,Jack Kraus
660294.0,tsuty001,tsutsyo01,Yoshi Tsutsugo
121847.0,schnj101,schneje01,Jeff Schneider
117914.0,lopea102,lopezal01,Al Lopez
113009.0,dalep101,daleype01,Pete Daley
150277.0,david002,davisdo02,Doug Davis
115458.0,hardl103,hardilo02,Jumbo Harting
115855.0,herrj101,herrnjo01,John Herrnstein
110066.0,adams102,adamssp02,Spencer Adams
121865.0,schrp102,schrepa01,Paul Schreiber
123891.0,waltb101,waltebe01,Bernie Walter
110850.0,bendc101,bendech01,Charles Bender
114489.0,fultb001,fultobi01,Bill Fulton
643585.0,vielj801,,Justin Viele
670183.0,actog001,actonga01,Garrett Acton
275933.0,downs001,downssc01,Scott Downs
816950.0,,thompha03,Harold Thompson
502055.0,buenj001,buentja01,Jay Buente
452075.0,robec002,roberco01,Connor Robertson
122561.0,spanb101,spansbi01,Bill Spanswick
118732.0,mcgrm101,mcgrima01,Mark McGrillis
112303.0,clacb101,clackbo01,Bobby Clack
115052.0,grasm101,grassmi01,Mickey Grasso
112818.0,cregp101,cregape01,Pete Cregan
111295.0,bowij001,bowieji01,Jim Bowie
488681.0,barnb002,barnebr02,Brandon Barnes
118759.0,mcivo101,mcivoot01,Otto McIvor
111271.0,boucm101,bouchme01,Medric Boucher
115646.0,hayev001,hayesvo01,Von Hayes
123869.0,wallr101,wallere01,Red Waller
114878.0,goarj101,goarjo01,Jot Goar
117450.0,landr001,landera01,Rafael Landestoy
430898.0,alfaj001,alfarja01,Jason Alfaro
120406.0,pered001,perezda01,Danny Perez
124010.0,weavr101,weavero01,Roger Weaver
113784.0,eiscj001,eischjo01,Joey Eischen
116410.0,irwiw101,irwinwa01,Walt Irwin
123361.0,tisij101,tisinja01,Jack Tising
119499.0,mullj101,mullijo02,Joe Mulligan
677951.0,wittb002,wittbo02,Bobby Witt
819692.0,dunbv101,dunbave01,Vet Dunbar
492705.0,vavrj801,,Joe Vavra
476704.0,lowrj001,lowrije01,Jed Lowrie
115069.0,graym101,graymi01,Milt Gray
113092.0,davij105,davieje01,Jerry Davie
117470.0,langd102,langdo01,Don Lang
112736.0,counc001,counscr01,Craig Counsell
623520.0,boted002,boteda01,David Bote
113536.0,dozid001,dozied.01,D. J. Dozier
502011.0,claip001,claibpr01,Preston Claiborne
119577.0,murrt101,murrato02,Tony Murray
679563.0,rodrj008,rodrijo09,José Rodriguez
124292.0,willc101,willich01,Charlie Williams
115861.0,herso001,hershor01,Orel Hershiser
116244.0,hrinw101,hriniwa01,Walt Hriniak
118849.0,mcnag102,mcnaugo01,Gordon McNaughton
118965.0,mercm101,mercema01,Mark Mercer
605513.0,turns003,turnbsp01,Spencer Turnbull
435359.0,debuj801,,Jon Debus
122628.0,squim001,squirmi01,Mike Squires
122716.0,stegd001,stegmda01,Dave Stegman
112029.0,carrl101,carrle01,Lew Carr
120349.0,pedra001,pedrial01,Al Pedrique
122124.0,shepr101,shepara01,Ray Shepardson
572810.0,dennr001,denniry01,Ryan Dennick
118108.0,maddf101,maddefr01,Frank Madden
110648.0,bartb101,bartobo01,Bob Barton
121191.0,riddd101,riddldo01,Dorsey Riddlemoser
276376.0,johnn001,johnsni01,Nick Johnson
113372.0,dillp102,dillopa01,Packy Dillon
458668.0,dankj002,danksjo02,Jordan Danks
521889.0,sches901,,Stu Scheurwater
116965.0,kelsb101,kelsobi01,Bill Kelso
122615.0,sprig101,sprigge01,George Spriggs
118385.0,martj102,martyjo01,Joe Marty
608385.0,winkj002,winkeje01,Jesse Winker
124742.0,zannd101,zannido01,Dom Zanni
817004.0,tennu101,,Tenny
448590.0,melik001,melilke01,Kevin Melillo
116871.0,keagg001,keaglgr01,Greg Keagle
571431.0,adamm002,adamsma01,Matt Adams
408212.0,grosg002,grossga01,Gabe Gross
817743.0,piccu101,picca01,Piccard
456034.0,pricd001,priceda01,David Price
124747.0,zaucn101,zauchno01,Norm Zauchin
816716.0,washj101,washija01,Jasper Washington
117918.0,lopeh101,lopezhe01,Héctor López
113145.0,daviw103,daviswi01,Wiley Davis
115263.0,gutir001,gutieri01,Ricky Gutiérrez
457870.0,ellir801,,Ryan Ellis
113097.0,davib106,davisbi01,Bill Davis
218595.0,woodc001,woodwch01,Chris Woodward
115726.0,helft101,helfrty01,Ty Helfrich
119551.0,murpd002,murphdw01,Dwayne Murphy
667725.0,tylek001,tylerky01,Kyle Tyler
501169.0,maveb701,,Bob Maver
115542.0,harrb114,harribo02,Bob Harrison
655676.0,trayk701,,Kyle Traynor
817083.0,stinu101,stins02,Stinson
621550.0,wisdp001,wisdopa01,Patrick Wisdom
543340.0,hudsk001,hudsoky01,Kyle Hudson
113225.0,delaa101,delanar01,Art Delaney
502205.0,greeg002,greengr01,Grant Green
112682.0,cordm001,cordoma01,Marty Cordova
820101.0,charr101,charlre01,Red Charleston
118281.0,marel101,marenle01,Leo Marentette
121364.0,rodrr003,rodriro02,Rosario Rodríguez
116050.0,hoggb101,hoggbi01,Bill Hogg
668952.0,kreir001,kreidry01,Ryan Kreidler
670087.0,sittb001,sittibr01,Brandyn Sittinger
122444.0,smitp102,smithpe01,Pete Smith
112690.0,cormr001,cormirh01,Rheal Cormier
120387.0,pennw001,pennywi01,Will Pennyfeather
111595.0,browt102,brownto01,Tom Brown
111167.0,bolae101,bolaned01,Ed Boland
666622.0,marqb001,marqubr01,Brailyn Márquez
121754.0,schaa101,schacal01,Al Schacht
502139.0,stinj001,stinsjo01,Josh Stinson
113642.0,dunnm001,dunnemi01,Mike Dunne
112296.0,ciprf101,ciprifr01,Frank Cipriani
111774.0,burrj101,burrojo01,John Burrows
112830.0,crisd102,criscda01,Dave Criscione
434623.0,morij001,morilju01,Juan Morillo
117511.0,laroj101,larosjo01,John LaRose
676979.0,crocg001,crochga01,Garrett Crochet
113641.0,dunnt001,dunnto01,Todd Dunn
501687.0,martl003,martelu01,Luis Marte
607333.0,taylb003,taylobe11,Beau Taylor
425513.0,brazc001,brazecr01,Craig Brazell
595441.0,tracm001,tracyma01,Matt Tracy
115379.0,hamid101,hamilda01,Dave Hamilton
452215.0,montl002,montzlu01,Luke Montz
457566.0,burkg001,burkegr01,Greg Burke
114466.0,frymw101,frymawo01,Woodie Fryman
592329.0,garcj005,garcija03,Jason García
120632.0,plymj001,plympje01,Jeff Plympton
592169.0,brica001,briceau01,Austin Brice
627500.0,tsenj001,tsengje01,Jen-Ho Tseng
111605.0,browg102,brownge01,George Browne
425428.0,depaj002,depaujo01,Jorge De Paula
118371.0,martd001,martide01,Dennis Martínez
571602.0,davim005,davidma02,Matt Davidson
817435.0,rossh101,rossho01,Howard Ross
111922.0,campb102,campbbr01,Bruce Campbell
119131.0,millb112,millebi03,Bill Miller
119929.0,odeak101,o'deake01,Ken O'Dea
818005.0,napol101,napolla01,Larry Napoleon
687931.0,whisc001,whiseca01,Carson Whisenhunt
119639.0,naglj101,nagleju01,Judge Nagle
543507.0,may-t001,maytr01,Trevor May
669093.0,estrj002,estraje01,Jeremiah Estrada
120060.0,oroum101,o'roumi01,Mike O'Rourke
114396.0,freds001,fredrsc01,Scott Fredrickson
575629.0,lives901,,Shane Livensparger
816656.0,whitc106,,Clifford White
451713.0,peguc001,pegueca01,Carlos Peguero
120809.0,purno101,purneos01,Oscar Purner
514639.0,ortej001,ortegjo01,José Ortega
501981.0,davik003,daviskh01,Khris Davis
123980.0,watkp001,watkipa01,Pat Watkins
115009.0,gracm101,gracemi01,Mike Grace
123391.0,tompc101,tompkch01,Chuck Tompkins
118271.0,mapec101,mapescl01,Cliff Mapes
122119.0,shels101,sheltsk01,Skeeter Shelton
123504.0,turbg101,turbege01,George Turbeville
818243.0,mccuj101,mccurji01,Jim McCurine
817665.0,pritw101,pritcwi01,Wilbert Pritchett
818572.0,lamaj102,lamarji01,Jim LaMarque
118254.0,manst101,manseto01,Tom Mansell
115119.0,gregf101,gregofr01,Frank Gregory
121256.0,rizzj101,rizzojo01,Johnny Rizzo
461791.0,marmc001,marmoca01,Carlos Marmól
118162.0,mahlr001,mahleri01,Rick Mahler
424725.0,sadlc001,sadleca01,Carl Sadler
595918.0,colea002,coleaj01,A. J. Cole
571918.0,marrd001,marrede01,Deven Marrero
663362.0,waldm003,waldrma01,Matt Waldron
111614.0,brucl101,brucelo01,Lou Bruce
133222.0,priee001,priesed01,Eddie Priest
118668.0,mcfag101,mcfadgu01,Guy McFadden
594824.0,garcg002,garcigr01,Greg Garcia
117936.0,lougu101,lough01,Patrick O'Loughlin
123884.0,walsj103,walshjo04,Joe Walsh
110685.0,batik001,batiske01,Kevin Batiste
820382.0,britj104,brittjo01,John Britton
817266.0,siasg101,siasge01,George Sias
119431.0,moscr101,moschro01,Ross Moschitto
455007.0,fritb801,,Ben Fritz
113550.0,drauj101,draubja01,Jake Drauby
118365.0,marte001,martied01,Edgar Martínez
820233.0,cabrl101,cabrelu01,Luis Cabrera
121117.0,reyna001,reynoar02,Armando Reynoso
121457.0,rosez101,rosebze01,Rosie Rosebraugh
692225.0,campk002,campbkr01,Kristian Campbell
593958.0,rodre004,rodried05,Eduardo Rodríguez
123221.0,theor101,theobro01,Ron Theobald
276537.0,richc001,richach01,Chris Richard
123105.0,tates001,tatest01,Stu Tate
457821.0,bankw002,bankswe01,Wes Bankston
124559.0,woodc101,woodscl01,Clarence Woods
122993.0,suskp101,suskope01,Pete Susko
114952.0,goodb101,goodmbi01,Billy Goodman
621051.0,wilss002,wilsost02,Steven Wilson
115988.0,hoakd101,hoakdo01,Don Hoak
818128.0,missj102,missoji01,Jim Missouri
111738.0,burnh101,burnehe01,Hercules Burnett
112615.0,conwe101,conweed01,Ed Conwell
114144.0,firod001,firovda01,Dan Firova
111607.0,browp103,brownpi01,Pidge Browne
817799.0,perej104,pereijo01,José Pereira
121489.0,rothb102,rothbr01,Braggo Roth
110442.0,bailf101,bailefr01,Fred Bailey
818007.0,myerb104,,Bill Myers
425817.0,foppj001,foppeje01,Jesse Foppert
657117.0,willa003,williau01,Austen Williams
114944.0,goodw101,goodwi01,Wilbur Good
430631.0,aberr001,abercre01,Reggie Abercrombie
118110.0,maddm001,maddemi01,Mike Madden
430838.0,tavew001,taverwi01,Willy Taveras
592351.0,grayj003,grayjo02,Jon Gray
121806.0,sched101,schesdu01,Dutch Schesler
819891.0,dallp101,dallapo01,Porter Dallas
622210.0,parmi001,parmlia01,Ian Parmley
116747.0,jordb001,jordabr01,Brian Jordan
623507.0,lestj002,lestejo02,Josh Lester
120573.0,piezs101,piezsa01,Sandy Piez
123352.0,tingr001,tinglro01,Ron Tingley
115796.0,hensc001,henslch01,Chuck Hensley
119061.0,millc102,millech03,Charlie Miller
592135.0,bedrc001,bedroca01,Cam Bedrosian
451532.0,billc001,billich01,Chad Billingsley
492653.0,huffg801,huffge99,George Huff
122585.0,spenb101,spencbe01,Ben Spencer
119062.0,millc101,millech02,Chuck Miller
118599.0,mccom102,mccormi01,Mike McCormick
122783.0,stews001,stewasa01,Sammy Stewart
816429.0,younm101,youngma04,Maurice Young
114301.0,fordg102,fordge02,Gene Ford
124687.0,younc103,youngch01,Charlie Young
122714.0,steem101,steevmo01,Morrie Steevens
502161.0,couss001,cousisc01,Scott Cousins
817601.0,reddu101,reddul01,Ulysses Redd
817377.0,sancr102,sanchra02,Raúl Sánchez
