year,role,mlbam,player_name,perf,pct,war_est,AAV_mid,AAV_low,AAV_high,years_guess
2015,bat,434778,"Santiago, Héctor",4.6540128220997765,0.9861026015074155,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,434778,"Shaw, Bryan",7.624613505831735,0.99600291757841,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,434778,"Simon, Alfredo",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,434778,"Smith, Joe",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,434778,"Stauffer, Tim",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,434778,"Swarzak, Anthony",-0.9928199112808733,0.222582056892779,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,434778,"Thielbar, Caleb",-0.6821249051434188,0.29846827133479215,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,434778,"Thompson, Aaron",-0.42087127375249206,0.35793824459032336,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,434778,"Weaver, Jered",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,434778,"Wilson, Alex",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,434778,"Wilson, C.J.",1.2331321271553373,0.8502212496960856,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435044,"Morrow, Brandon",-1.196151993476974,0.13778750303914417,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,435062,"Anderson, Chase",0.44307011554246345,0.7256795526379771,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Benoit, Joaquín",-0.47740117714482033,0.34461463651835644,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Bergman, Christian",-0.5992739457400329,0.31675176270362265,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Bradley, Archie",-0.48149756160524027,0.3436518356430829,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Brown, Brooks",-0.835401525064537,0.26344760515438853,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Bumgarner, Madison",0.5112250798814039,0.7384196450279601,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Burgos, Enrique",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Butler, Eddie",0.5296687137510854,0.7414101628981279,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Cashner, Andrew",-0.4641590068519531,0.3473863360077802,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Casilla, Santiago",-0.9829812621423524,0.22474106491611962,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Chafin, Andrew",-1.0912064026660833,0.18209579382445903,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,435062,"Collmenter, Josh",0.7376327149889873,0.7771164600048627,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"De La Rosa, Rubby",-0.2561535576862753,0.3966593727206419,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Delgado, Randall",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Friedrich, Christian",1.9209753502694304,0.921269146608315,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,435062,"Garces, Frank",1.192915314018876,0.8446875759786044,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Iwakuma, Hisashi",1.1132017319151772,0.8344566010211525,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Kendrick, Kyle",2.8380504212051156,0.9653488937515196,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,435062,"Kennedy, Ian",1.623960618905676,0.8951908582543155,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Kontos, George",-1.3338930814162682,0.08344274252370533,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,435062,"Leone, Dominic",0.33102796882693947,0.7037004619499149,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Lincecum, Tim",0.24059051628226566,0.6862241672744955,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Lyles, Jordan",0.655643972167979,0.7637636761487965,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Machi, Jean",0.8321930650425506,0.7927546802820326,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Maurer, Brandon",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Medina, Yoervis",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Oberg, Scott",5.389626120129075,0.9900753707755896,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,435062,"Olson, Tyler",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Paxton, James",0.5001363038924539,0.7364259664478483,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Petit, Yusmeiro",-1.5880839277594243,0.026705567712132262,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,435062,"Quackenbush, Kevin",-0.2805120110911642,0.3907318259178215,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435062,"Rodney, Fernando",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Romo, Sergio",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Ross, Tyson",0.39026086943830024,0.7157500607828835,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Schugel, A.J.",0.8674623341736399,0.7982737661074641,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Shields, James",0.19598864018763706,0.6772137126185266,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,435062,"Thayer, Dale",-1.1010450518046042,0.17674203744225625,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,435062,"Vincent, Nick",2.242371222127783,0.9414490639435935,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,435062,"Vogelsong, Ryan",0.5579455932041193,0.7463457330415755,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,435062,"Walker, Taijuan",-0.4570713306082021,0.34933138828106003,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,435063,"Betances, Dellin",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
