year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,112526,pit,SL,,vsL,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,2156.5,4.9,-0.11000000000000001,0.75,0.00510204081632653,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5
2015,112526,pit,SL,,vsR,17,10,7,6,3,3,0,0,0,6,3,3,6,6,8,2,7,2404.4615384615386,5.066666666666666,0.23117647058823532,0.4411764705882353,0.04336734693877551,0.5882352941176471,0.0,0.0,0.0,0.3,0.42857142857142855,1.0,1.0,0.35294117647058826,0.6,0.47058823529411764,0.11764705882352941,0.4117647058823529
2015,115629,pit,CH,ahead,vsL,5,1,4,1,1,0,0,0,0,1,1,0,2,0,1,0,4,1700.5,6.074999999999999,-0.9480000000000001,0.796,0.047619047619047616,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.0,0.2,0.0,0.8
2015,115629,pit,CH,two_strike,vsL,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1782.0,6.1,-0.47,1.22,0.009523809523809525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2015,115629,pit,CH,two_strike,vsR,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1718.0,6.5,-1.03,0.64,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,CH,,vsL,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1695.6666666666667,5.966666666666666,-1.03,0.6066666666666666,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,FF,ahead,vsL,13,8,5,7,6,1,2,1,1,5,5,0,3,2,7,1,5,2051.7272727272725,6.263636363636365,-1.0753846153846154,1.0007692307692309,0.12380952380952381,0.6153846153846154,0.2857142857142857,0.16666666666666666,1.0,0.75,0.2,0.8333333333333334,0.0,0.38461538461538464,0.375,0.5384615384615384,0.07692307692307693,0.38461538461538464
2015,115629,pit,FF,ahead,vsR,7,5,2,4,4,0,0,0,0,4,4,0,2,1,4,1,2,2036.7142857142858,6.185714285714285,-1.0214285714285716,0.9071428571428571,0.06666666666666667,0.7142857142857143,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.2857142857142857,0.2,0.5714285714285714,0.14285714285714285,0.2857142857142857
2015,115629,pit,FF,behind,vsL,3,2,1,1,1,0,0,0,0,1,1,0,1,1,2,0,1,2026.0,6.0,-0.8333333333333334,0.9033333333333333,0.02857142857142857,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.3333333333333333
2015,115629,pit,FF,behind,vsR,7,4,3,4,3,1,2,1,1,2,2,0,1,1,3,1,3,1830.4285714285713,6.285714285714286,-1.0642857142857143,1.1171428571428572,0.06666666666666667,0.5714285714285714,0.5,0.3333333333333333,1.0,0.75,0.3333333333333333,0.6666666666666666,0.0,0.42857142857142855,0.5,0.42857142857142855,0.14285714285714285,0.42857142857142855
