season,pitcher_id,dominant_pitch,usage_entropy,repeat_rate,_role_pitch,batter_id,ev_mean,n_bbe,_role_bat
2015,444482,CH,2.3347184934562106,0.49171270718232046,Bulk/Swing,,,,
2015,444836,FC,1.67965982755941,0.47509578544061304,Bulk/Swing,,,,
2015,445170,SI,1.2462366416416202,0.5694444444444444,High-Leverage RP,,,,
2015,445276,FC,1.2363834968638285,0.6342213114754098,High-Leverage RP,,,,
2015,446334,CH,2.5342136287067545,0.5185185185185185,Bulk/Swing,,,,
2015,447714,SI,1.4514935417125732,0.5414078674948241,High-Leverage RP,,,,
2015,448605,CH,2.162336285641346,0.5033112582781457,Bulk/Swing,,,,
2015,451584,FF,1.3991934454502664,0.6275820170109356,High-Leverage RP,,,,
2015,451596,SI,1.6869950945371084,0.6409176029962547,Bulk/Swing,,,,
2015,453385,SI,1.682610135529114,0.5526315789473685,Bulk/Swing,,,,
2015,456781,SI,2.0585847010580753,0.5648854961832062,Bulk/Swing,,,,
2015,458015,CH,2.3110084325398548,0.5138121546961326,Bulk/Swing,,,,
2015,465753,FF,1.8876762485324359,0.6312056737588653,Bulk/Swing,,,,
2015,468504,FF,1.8064321571168642,0.5777479892761395,Bulk/Swing,,,,
2015,474892,CH,2.4264602879456296,0.5124378109452736,Bulk/Swing,,,,
2015,476192,CH,1.9184103886816664,0.5258620689655172,Bulk/Swing,,,,
2015,491159,FF,1.0775173004151832,0.6174934725848564,High-Leverage RP,,,,
2015,493128,FF,1.990009799406303,0.46875,Bulk/Swing,,,,
2015,501303,FF,1.9787202826606154,0.6066350710900474,Bulk/Swing,,,,
2015,502582,CH,2.05403216402767,0.6323529411764706,Bulk/Swing,,,,
2015,503285,SL,1.3489749966954876,0.6386430678466076,High-Leverage RP,,,,
2015,518693,SI,1.5307934131394234,0.598731165741475,Bulk/Swing,,,,
2015,518748,FF,1.3929492282475398,0.5960548885077187,High-Leverage RP,,,,
2015,518792,CH,2.3347184934562106,0.5911602209944752,Bulk/Swing,,,,
2015,541608,FF,1.7601957278003335,0.4603174603174603,Bulk/Swing,,,,
2015,543144,FF,1.6494946294824833,0.5529265255292652,Bulk/Swing,,,,
2015,543321,FF,1.9518607863329314,0.37037037037037035,Bulk/Swing,,,,
2015,543351,FF,0.6826871405907657,0.6290322580645161,High-Leverage RP,,,,
2015,543510,CH,2.4040967111542937,0.5130890052356021,Bulk/Swing,,,,
2015,543548,FF,1.5695487916141488,0.5789110957960028,Bulk/Swing,,,,
2015,543607,SI,1.763201697250992,0.4953051643192488,Bulk/Swing,,,,
2015,543716,FF,1.3130412592422185,0.541501976284585,High-Leverage RP,,,,
2015,543939,CH,2.3724301575610376,0.43010752688172044,Bulk/Swing,,,,
2015,544725,CH,1.6841191329646104,0.40298507462686567,Bulk/Swing,,,,
2015,572089,SL,1.597991163264525,0.629277566539924,Bulk/Swing,,,,
2015,572096,FF,1.4970404968201327,0.5580693815987934,Bulk/Swing,,,,
2015,572309,FF,1.682787229309809,0.5143953934740882,Bulk/Swing,,,,
2015,592398,SI,1.4999051530142513,0.48404255319148937,Bulk/Swing,,,,
2015,592609,CH,2.0430360169662847,0.4523809523809524,Bulk/Swing,,,,
2015,592621,CH,1.7811026532576955,0.5495495495495496,Bulk/Swing,,,,
2015,593525,FF,1.342444232757342,0.23076923076923078,Bulk/Swing,,,,
2015,594736,CH,1.5447741294063897,0.6094853683148335,Bulk/Swing,,,,
2015,594772,SI,1.5319517434486047,0.5454545454545454,Bulk/Swing,,,,
2015,595885,SI,2.3333404270945253,0.5341614906832298,Bulk/Swing,,,,
2015,596143,FF,2.1145134796273712,0.5497630331753555,Bulk/Swing,,,,
2015,605131,FF,2.0506777766955873,0.4628099173553719,Bulk/Swing,,,,
2015,605141,CH,2.5378137819295516,0.39800995024875624,Bulk/Swing,,,,
2015,608678,FF,1.6376330260367988,0.5334928229665071,Bulk/Swing,,,,
2015,621035,SI,2.12769732603353,0.5,Bulk/Swing,,,,
2015,625329,FF,2.0201230511255783,0.36633663366336633,Bulk/Swing,,,,
2015,150029,CH,2.2177688877836843,0.639751552795031,Bulk/Swing,,,,
2015,346798,SI,1.7090904543909011,0.6869158878504673,Bulk/Swing,,,,
2015,407819,SI,1.5364495295255476,0.6545981173062998,Bulk/Swing,,,,
