year,pitcher_id,pitches,xwOBA,velo,csw_rate,chase_rate,zone_rate
2015,474521,165,,,0.26471964932859876,,
2015,501381,165,,,0.27020835191183085,,
2015,501593,165,,,0.24077902491425418,,
2015,592717,165,,,0.20052144814801065,,
2015,461833,160,,,0.21796266717371923,,
2015,474029,160,,,0.253767903651774,,
2015,490063,160,,,0.2077798163920089,,
2015,543935,160,,,0.17104414384217942,,
2015,592836,160,,,0.23220919043766725,,
2015,607259,160,,,0.22725412956374508,,
2015,608379,160,,,0.21031963929073827,,
2015,592346,160,,,0.1413895222176351,,
2015,471911,160,,,0.30730316052458384,,
2015,489265,160,,,0.2461210136903495,,
2015,491708,160,,,0.2240051340772718,,
2015,544727,160,,,0.2511514107939433,,
2015,346847,160,,,0.18763573304562256,,
2015,458919,160,,,0.2063742221868016,,
2015,592789,160,,,0.2653445596592401,,
