season,pitcher_id,from2,from1,to_pt,n,prob
2015.0,150359,SI,SI,SI,2,0.2857142857142857
2015.0,150359,SI,FF,IN,2,0.6666666666666666
2015.0,150359,SI,CH,FF,2,0.6666666666666666
2015.0,150359,SI,IN,CH,2,1.0
2015.0,150359,CH,FF,IN,2,0.15384615384615385
2015.0,150359,SI,KC,IN,2,0.15384615384615385
2015.0,150359,PO,KC,IN,2,1.0
2015.0,150359,KC,CH,FF,2,1.0
2015.0,150359,CH,KC,SI,1,1.0
2015.0,150359,SI,SI,IN,1,0.14285714285714285
2015.0,150359,SI,FF,SI,1,0.3333333333333333
2015.0,150359,PO,SI,KC,1,0.5
2015.0,150359,PO,SI,CH,1,0.5
2015.0,150359,KC,SI,CH,1,0.058823529411764705
2015.0,150359,KC,SI,IN,1,0.058823529411764705
2015.0,150359,CH,CH,KC,1,0.09090909090909091
2015.0,150359,SI,PO,KC,1,0.5
2015.0,150359,SI,PO,SI,1,0.5
2015.0,150359,CH,CH,SI,1,0.09090909090909091
2015.0,150359,KC,PO,CH,1,1.0
2015.0,150359,CH,SI,CH,1,0.3333333333333333
2015.0,150359,CH,SI,KC,1,0.3333333333333333
2015.0,150359,CH,SI,FF,1,0.3333333333333333
2015.0,150359,CH,FF,FF,1,0.07692307692307693
2015.0,150359,CH,FF,CH,1,0.07692307692307693
2015.0,150359,SI,KC,PO,1,0.07692307692307693
2015.0,150359,SI,KC,KC,1,0.07692307692307693
2015.0,150359,SI,KC,CH,1,0.07692307692307693
2015.0,150359,SI,CH,CH,1,0.3333333333333333
2015.0,150359,FF,FF,FF,1,0.25
2015.0,150359,FF,SI,KC,1,1.0
2015.0,150359,IN,FF,FF,1,0.25
2015.0,150359,IN,CH,FF,1,0.5
2015.0,150359,FF,CH,FF,1,0.1
2015.0,150359,FF,CH,SI,1,0.1
2015.0,150359,KC,KC,SI,1,1.0
2015.0,150359,FF,KC,CH,1,0.1111111111111111
2015.0,150359,IN,CH,SI,1,0.5
2015.0,150359,PO,CH,PO,1,1.0
2015.0,150359,FF,CH,PO,1,0.1
2015.0,150359,CH,PO,SI,1,0.5
2015.0,150359,CH,PO,KC,1,0.5
2015.0,217096,SI,CU,CH,4,1.0
2015.0,217096,CU,CH,FF,4,1.0
2015.0,217096,FF,SI,CU,2,0.6666666666666666
2015.0,217096,CH,FF,SI,2,0.6666666666666666
2015.0,217096,CU,SI,CU,1,1.0
2015.0,217096,CH,CU,SI,1,1.0
2015.0,217096,FF,FF,SI,1,1.0
2015.0,217096,FF,SI,CH,1,0.3333333333333333
2015.0,217096,CH,FF,FF,1,0.3333333333333333
2015.0,217096,SI,CH,CU,1,1.0
2015.0,218596,CU,FC,FF,9,0.6
2015.0,218596,FC,FF,FS,8,0.7272727272727273
2015.0,218596,FF,FC,CU,7,0.7777777777777778
2015.0,218596,FF,FS,SI,6,0.6666666666666666
2015.0,218596,SI,PO,FS,5,0.8333333333333334
2015.0,218596,FS,FF,FC,5,0.5555555555555556
2015.0,218596,CU,FC,CU,4,0.26666666666666666
2015.0,218596,SI,FS,FC,4,0.4
2015.0,218596,SI,FS,FF,4,0.4
2015.0,218596,FC,CU,FC,4,0.26666666666666666
2015.0,218596,PO,FS,FF,4,0.6666666666666666
2015.0,218596,CU,SI,FS,3,0.6
2015.0,218596,FF,CU,FC,3,1.0
2015.0,218596,FC,CU,SI,3,0.2
2015.0,218596,FC,CU,CU,3,0.2
2015.0,218596,SI,CU,FC,3,0.6
2015.0,218596,FS,FF,SI,3,0.3333333333333333
2015.0,218596,FS,SI,SI,3,0.25
2015.0,218596,FS,SI,CU,3,0.25
2015.0,218596,FS,FC,CU,3,0.75
2015.0,218596,SI,SI,PO,3,0.3333333333333333
2015.0,218596,SI,SI,SI,3,0.3333333333333333
2015.0,218596,FS,PO,SI,3,1.0
2015.0,218596,FS,FS,SI,2,0.6666666666666666
