season,pitcher_id,dominant_pitch,dominant_usage,usage_entropy,repeat_rate
2025,690374,CU,0.25925925925925924,1.5991654107425068,0.23076923076923078
2025,691011,CH,0.21875,1.782694688604736,0.03225806451612903
2025,691645,CH,0.25925925925925924,1.5991654107425068,0.19230769230769232
2025,694212,CH,0.1346153846153846,2.2965114666021638,0.0392156862745098
2025,694224,FF,0.5833333333333334,0.6791932659915256,0.45454545454545453
2025,694977,CH,0.25925925925925924,1.5991654107425068,0.3076923076923077
2025,695336,CH,0.11290322580645161,2.4797076717021445,0.04918032786885246
2025,695342,FF,0.3181818181818182,1.374545192908375,0.23809523809523808
2025,695534,CH,0.25925925925925924,1.5991654107425068,0.11538461538461539
2025,698929,FS,0.4117647058823529,1.0852280400722045,0.25
2025,699615,CH,0.4117647058823529,1.0852280400722045,0.25
2025,700187,CH,0.4117647058823529,1.0852280400722045,0.125
2025,701481,CH,0.25925925925925924,1.5991654107425068,0.0
2025,703639,CH,0.4117647058823529,1.0852280400722045,0.1875
2025,801432,CH,0.4117647058823529,1.0852280400722045,0.25
2025,801802,CH,0.3181818181818182,1.374545192908375,0.23809523809523808
2025,802544,CU,0.3181818181818182,1.374545192908375,0.2857142857142857
2025,805123,CH,0.21875,1.782694688604736,0.03225806451612903
2025,808967,CU,0.1891891891891892,1.9378230905790836,0.027777777777777776
2025,810897,CH,0.3181818181818182,1.374545192908375,0.14285714285714285
2025,827744,CU,0.4117647058823529,1.0852280400722045,0.1875
2025,477132,CS,0.16666666666666666,2.0721529997457324,0.07317073170731707
2025,506433,CH,0.1346153846153846,2.2965114666021638,0.058823529411764705
2025,518489,FC,0.3181818181818182,1.374545192908375,0.19047619047619047
2025,518876,CH,0.21875,1.782694688604736,0.0967741935483871
2025,543101,FF,0.21875,1.782694688604736,0.06451612903225806
2025,543135,CU,0.21875,1.782694688604736,0.0967741935483871
2025,543592,EP,0.12280701754385964,2.3922922035346867,0.07142857142857142
2025,544150,CH,0.25925925925925924,1.5991654107425068,0.15384615384615385
2025,592791,CH,0.21875,1.7826946886047361,0.0967741935483871
2025,593428,CH,0.12280701754385964,2.3922922035346867,0.03571428571428571
2025,595453,CH,0.1891891891891892,1.9378230905790836,0.05555555555555555
2025,595897,CH,0.3181818181818182,1.374545192908375,0.09523809523809523
2025,600869,CH,0.13043478260869565,2.270764496273168,0.3076923076923077
2025,605154,CH,0.3181818181818182,1.374545192908375,0.09523809523809523
2025,605177,CH,0.3181818181818182,1.374545192908375,0.14285714285714285
2025,605483,CH,0.3181818181818182,1.374545192908375,0.09523809523809523
2025,608334,CH,0.21875,1.782694688604736,0.12903225806451613
2025,608717,CH,0.21875,1.7826946886047361,0.16129032258064516
2025,622569,FA,0.16129032258064516,2.367909739353766,0.08196721311475409
2025,641941,FC,0.4117647058823529,1.0852280400722045,0.25
2025,642020,CH,0.1891891891891892,1.9378230905790836,0.16666666666666666
2025,642180,EP,0.15584415584415584,2.5079117087202816,0.06578947368421052
